sme_id,revenue,profit_margin,employee_count,sector,age_of_business,late_payments,debt_ratio,marketing_spend,credit_history,collateral_value
42,53647.41542156937,0.12135022933208271,47,retail,8,0,0.5197056725611868,120.30319266263383,334,1140.9930478350457
43,47546.311479891316,0.11331381214457852,33,retail,24,0,0.5021786380893736,188.78978894132328,491,543.2023229869528
44,44439.767391332716,0.16066484104236053,98,agriculture,16,0,0.4363850913274455,143.195660696378,453,6258.815930184526
45,33890.92229083391,0.09243060473324595,84,agriculture,5,1,0.14820870802276123,279.97943706543316,404,3685.709890678117
46,39223.86280975429,0.228472146712713,35,retail,21,0,0.12281663285874264,111.20628160147535,698,2468.364485078204
47,42191.651367183906,0.1500144945442738,51,services,22,0,0.028346528567701257,243.4977870259122,649,45875.891320172545
48,88488.70157307523,0.149348977520297,18,transport,10,0,0.21252042631744192,365.033702561279,664,720.3951340214691
49,58244.01086779135,0.12704736984409573,88,beauty,23,0,0.3130659328958956,184.75077679092493,639,42725.684618384024
50,32727.894912795735,0.16086334787012854,72,transport,13,0,0.14883235921234736,145.96425100181628,688,3126.5200418628315
51,57682.04846235036,0.2077568785267344,30,retail,14,0,0.36466321104556526,206.7457272327127,608,189.9278540822332
52,43211.74828732604,0.08930088490023697,44,services,7,0,0.39777866542734014,190.04614174446925,811,2278.325491394917
53,39663.73227703985,0.10393184576473202,53,agriculture,20,0,0.22882643328774416,330.62817529213555,494,12572.210167650645
54,67174.6016602166,0.12873917798563347,10,retail,6,1,0.09899734081146719,280.0699987910597,530,1724.0258594507336
55,86959.8240272848,0.05578903535687495,87,manufacturing,7,0,0.5071389845701947,282.77789560887464,784,326.3048894930577
56,81477.3628955617,0.09265194981949515,52,agriculture,5,0,0.3052713336931308,153.73352800945918,661,2329.0790299502823
57,38095.285057964145,0.11666453885187386,49,beauty,21,0,0.5911809012398883,194.99644081257884,276,824.058431296082
58,44316.645503092346,0.21120724264989094,11,tech,18,1,0.3138568724088103,192.10094913583833,505,6233.676721275733
59,57887.31212174495,0.16837929303013474,66,transport,23,0,0.32433193758693357,56.49185555618639,400,9510.005407025983
60,83843.66503747541,0.1635512937957281,58,tech,12,0,0.15532547700155966,349.02125214274196,544,611.3040048491928
61,41952.9558308344,0.20956285735175806,90,agriculture,6,1,0.23646849999138297,39.03925100524672,838,1034.1073991521912
62,46305.40975243274,0.14038397481204223,36,beauty,1,0,0.06617958458731235,262.3683221062069,226,9273.940949931266
63,36008.71177112997,0.17733253949502226,33,retail,4,0,0.09845634550728327,183.75381090302199,448,821.9944001402781
64,35422.99095357202,0.14277447729472525,47,tech,19,0,0.41117475709898077,118.22261533768679,120,588.0210792131411
65,75623.0019021059,0.168575364457974,13,agriculture,12,1,0.2576124925324525,202.948474588091,810,508.7533402339236
66,109162.83923499231,0.10920689396718924,40,manufacturing,15,0,0.23660129570743174,207.44276306799492,800,5054.619817549414
67,48364.89640998142,0.0,89,beauty,3,0,0.18893610289693102,52.13101528425425,519,4739.7353475312875
68,85394.78778962928,0.1406004586469587,68,tech,23,0,0.24217144433345822,460.77093194031767,251,1068.4143948591857
69,58772.167165366576,0.24959236952699582,42,services,20,1,0.4699595162410759,157.23011660167742,259,3003.783964018814
70,40002.03907393318,0.21483507815691147,19,services,8,0,0.3216332635309003,945.5680364053777,579,29457.34536753685
71,58765.05688971258,0.21757782392138195,82,beauty,11,0,0.12299776798585699,279.16885754127594,542,691.5322339988608
72,125106.20585832927,0.23652915052643525,94,beauty,16,1,0.45455770408334895,154.39555951084256,195,159.5545845372848
73,49071.27460498241,0.1562060313673006,19,retail,9,0,0.5587557884697023,85.4531755215094,451,5899.443854965079
74,127692.39915117646,0.16381209951839168,58,beauty,3,1,0.37420570020753346,135.81971349618473,174,2526.01503286985
75,30694.43903664272,0.10676436731959549,23,agriculture,5,1,0.43369353176832415,167.3127110791673,693,1027.5805832104134
76,76060.39782668726,0.1278749000781065,54,agriculture,20,1,0.48311743760533976,479.3083481829571,739,7927.716817076352
77,51670.02679706614,0.19310398048397992,80,services,14,0,0.051509262227341146,395.965809328899,458,10496.925849111572
78,44471.76096526623,0.23427191060181712,65,manufacturing,15,0,0.5796405551828507,212.97840721217733,232,108.59039613172725
79,51776.22155716479,0.14023876070233002,12,tech,6,1,0.4648221106015803,611.1564214882727,499,1120.0214725250944
80,32017.235043928777,0.11848675146040119,24,retail,4,1,0.37332820513693915,29.578717410518994,238,96401.24030933563
81,45733.19294105995,0.15003695711996182,34,manufacturing,8,0,0.2811809191271744,214.9122723382976,345,7151.714332253106
82,58638.674583933156,0.19208447242503804,53,agriculture,19,1,0.09941363761217323,405.2570409559433,390,8218.602467246037
83,119507.85065971644,0.048930162870652064,8,agriculture,5,0,0.2502898344455604,229.97031080448338,211,17315.224423086067
84,41463.76331018179,0.0,18,agriculture,13,0,0.3672595524794422,51.09842204264581,814,3058.2656028415718
85,38373.00696545176,0.11146242053558914,57,tech,16,0,0.13434624314405777,451.0393141709424,269,9848.025331778472
86,41668.05549674503,0.06455013018600889,5,manufacturing,1,1,0.28953790989288974,272.8927472288365,698,8752.486109154444
87,80653.76599462426,0.11443018616468822,26,agriculture,13,0,0.12246879437836142,195.2751458068992,730,6691.29191025068
88,57815.31617273892,0.139655377682777,30,beauty,22,0,0.24230637359037288,159.28362098030317,709,1839.008863025901
89,41323.5925890911,0.11827261136838906,54,retail,11,1,0.09710589506139214,731.4008402355257,339,3858.710670790216
90,63615.00992829485,0.2516727274129522,13,beauty,21,0,0.08133358683041983,211.7939853506789,436,1233.3109406132262
91,51896.604980424636,0.1728721335221624,83,services,8,0,0.35101341171958556,122.29843827775784,237,3038.8105665965595
92,83467.87399658852,0.171033205172758,29,beauty,8,0,0.21303636623993258,77.54800773980192,693,516.597303969458
93,39403.89914311281,0.19355450008303815,3,services,24,0,0.22713141053872804,272.06018531689017,335,910.5638409648525
94,44040.197191994215,0.07028168175534615,90,services,14,0,0.20498345478436797,326.6818352053241,747,1951.8480820243901
95,43113.607674556144,0.2227378251194188,58,tech,13,1,0.7084676981439647,155.2772833576481,102,723.7469776029195
96,33961.93831078962,0.1446964999425178,76,beauty,3,0,0.39110506285586805,94.9905313015531,670,1397.547360474532
97,56896.457173690476,0.1969336432068849,2,services,4,1,0.40721153087515605,430.11184459234846,215,2331.136124656507
98,55941.9094660039,0.07496999368718911,75,tech,20,0,0.18368766955401586,72.97140600424885,571,5450.123331294499
99,49901.92068134468,0.04123688637887549,28,retail,15,0,0.37571260328569955,717.3445757936797,230,12380.599287479408
100,45488.339792800936,0.207252276061752,82,services,15,0,0.26584184953828705,82.4649162503582,582,1486.7137748054433
101,34197.09440588528,0.17634866682682615,77,beauty,21,0,0.18248253886494076,53.37602039949894,500,22085.066296449466
102,42722.000345536304,0.08685639119497426,86,retail,13,0,0.5893637101827854,59.12812160434982,300,12184.45963012708
103,43818.40263042109,0.08912358431077139,76,tech,9,0,0.38591870433144376,61.08237343258697,391,6349.559681052171
104,38430.24344572415,0.22878043490903388,2,transport,10,0,0.3783507945708279,122.82039890395134,441,3753.611394016686
105,46727.590797916826,0.06674116749928703,7,manufacturing,12,0,0.15423995688424164,102.04990797782878,709,4811.101133591224
106,60053.69914806599,0.2649871067279175,26,manufacturing,14,0,0.109468613491958,336.8749724440677,315,17686.850378602114
107,165048.17792981415,0.08695654857464917,90,transport,1,0,0.29136727946427604,300.56374228559974,735,18683.003571798967
108,53726.024995182175,0.19468743479258682,88,manufacturing,14,1,0.21397289692193572,124.11284012180339,684,22079.836436038106
109,55848.325876801435,0.12699670669757107,76,manufacturing,14,0,0.3918961413881561,1777.0456631912134,465,3171.596119287359
110,48318.257270894304,0.192223120175764,16,beauty,8,0,0.4018891321333072,122.80419134100735,741,6853.061375140425
111,32218.292846499502,0.11191201985200651,23,beauty,16,1,0.3098254902179015,136.61775489362455,568,22366.50396410475
112,49257.23804938617,0.1386044965749394,40,manufacturing,14,1,0.4241569760374129,53.41361315608475,517,1169.61036109942
113,51075.30464160112,0.15286434227770046,60,tech,1,0,0.3289956597158989,139.15212237764402,126,1848.9528289792067
114,271121.42352051195,0.07984687809529689,73,tech,16,0,0.16924655766467864,188.2781805800617,776,3053.534327203384
115,46191.11380506662,0.20185770417940882,32,services,18,0,0.2702587924928518,57.54822459360279,554,11491.904465906326
116,57047.208035980395,0.11407505034698903,15,agriculture,7,0,0.3203599563880653,99.58851634001566,679,11763.516820140263
117,49093.435407856574,0.1339980059261987,13,retail,15,1,0.43933875909627695,192.7913631012801,113,2108.4404568355058
118,35596.84379705841,0.08039554377740413,5,tech,24,0,0.33374262666587295,97.5272295763683,197,310.1592323759667
119,93794.38151783602,0.0,75,transport,17,0,0.21428240930186224,82.48963607394528,378,4312.512312655022
120,72893.28467590254,0.13662805661798816,74,agriculture,19,1,0.4449256958921482,277.46822201369577,589,751.8416981475084
121,74635.71452605506,0.3188830795129041,52,retail,23,0,0.3571133768621899,53.213331182510316,723,318.9695657431735
122,37492.10391608045,0.20492230015286167,77,agriculture,13,0,0.5318510588379992,62.1569163851309,306,447.73102384309186
123,112973.74229529533,0.14865177341859237,41,beauty,9,1,0.3130916203428324,171.04103055171998,332,4863.781553532511
124,34265.191739419824,0.13159764195542126,53,retail,24,0,0.14440069293454205,292.05069791444447,672,22961.08353013888
125,66243.5593689757,0.15157261249684323,50,tech,24,1,0.476546904532273,189.5057132190673,696,3160.0457184946913
126,213362.57404676426,0.1882983380622647,15,tech,15,1,0.21348150548051215,124.07549310499728,794,4093.1535127942593
127,36845.332556915906,0.06734310292838085,7,services,3,0,0.34431361905011426,116.2437296637885,338,17576.927936275566
128,40888.41182613457,0.22800251862682105,40,tech,24,0,0.3278575034053447,333.07027583591366,349,293.9229435964562
129,51955.112146957064,0.20007669208088708,28,agriculture,1,0,0.3068443994981796,295.0666155811186,682,6504.598273062138
130,41646.63614276096,0.2002730007995554,32,manufacturing,16,0,0.27452700417342013,154.45138729307885,839,2929.5828607227554
131,33564.0244291705,0.1806933017166809,99,services,8,0,0.05217838021667748,118.8550924613299,696,6968.018602604266
132,51258.39683226634,0.15137316603857928,15,manufacturing,23,0,0.1496844113054354,152.66069120725675,405,1443.4251395646838
133,36315.46888538354,0.1971002865176774,85,services,13,1,0.4683198483345714,82.95033383204152,562,874.0119640098295
134,62276.09897032384,0.19142698936189645,70,transport,8,0,0.364320107666139,131.61216829759243,335,3680.3508136972287
135,37409.235861452005,0.12521715023412833,65,agriculture,17,0,0.5863945575939695,100.320560341226,390,35375.93214551745
136,126254.16746224543,0.10984787589721692,4,beauty,22,0,0.1443442766948287,136.9100506090055,138,10843.977728546683
137,38607.63242080319,0.15712994066833907,11,retail,23,1,0.2954015841971343,103.23960866135191,817,1391.949894240826
138,44123.5776223592,0.2584314106046631,26,manufacturing,14,0,0.4744790278442066,225.68980204968085,282,398.8326662244237
139,75669.05404502613,0.06326250470422692,61,retail,21,0,0.21512647344694824,285.63772722830134,798,239.1041125527478
140,35210.81216175439,0.04727323139732918,37,retail,21,1,0.227194943383362,109.53316102583646,744,21464.36029065035
141,55058.2366101697,0.16153325888655617,23,services,7,0,0.2559990203041894,77.51692230966127,129,711.5008184149802
142,105331.42086424724,0.15356213912992125,93,retail,15,0,0.23319783075051737,262.24977448369873,487,1829.375408063077
143,33322.65199781398,0.16213391650592857,85,services,16,1,0.37976960977209334,172.05377103103527,242,21629.57108501376
144,53973.96308123979,0.167076723853595,91,agriculture,19,0,0.03296847452761087,110.67645633411462,714,264.84581243439555
145,55910.566700130075,0.13437584217556364,40,agriculture,6,1,0.546408886109695,446.05467343787376,518,27956.269486391702
146,74219.16082818637,0.25429044070214574,77,services,23,0,0.1560505010166834,94.44074413436417,173,2037.6232195949488
147,35174.30366987005,0.0379367215066439,23,manufacturing,1,0,0.0,30.13390492969313,154,532.2562397993551
148,34695.208537431456,0.09200520826538278,16,beauty,12,1,0.29846409032741633,84.23685248753247,847,2056.937714208919
149,63914.879599988024,0.14277216678956667,94,retail,18,0,0.24338985539197758,541.6948207493701,671,1008.3845036167941
150,56920.41328393722,0.034976783219208274,61,manufacturing,16,0,0.27330303767510805,115.10410907643973,123,5774.631352910336
151,55660.87528597121,0.13769019168975502,68,beauty,12,1,0.34688648630033464,98.26309918015451,121,1127.5487967658169
152,58326.33604638303,0.2663029116009613,80,manufacturing,20,1,0.3967261934331338,151.60561291116323,527,169.44640525269148
153,39631.29846067736,0.15146205418071731,31,tech,13,1,0.5529977030501846,333.2358409266992,131,2141.273872390128
154,55182.52049912177,0.16614906340030783,53,services,8,0,0.1964788743676658,138.88968812259768,438,389.6240974279887
155,56812.15454781827,0.06178846643791937,25,beauty,22,0,0.416143658724654,238.19223685638718,614,4050.031046940677
156,39279.10543385602,0.10685470143723658,44,services,1,0,0.4063404676603075,127.56002208174719,611,502.35372426926716
157,162303.31712499913,0.1237362533773244,12,beauty,21,0,0.0,239.6953967199799,169,1433.6526900994538
158,62284.05581126953,0.1277599432270636,90,beauty,7,1,0.17502083961961898,171.43603703120158,771,3920.13631463508
159,35453.606688127584,0.2397150656502638,97,agriculture,15,0,0.10695291535788581,107.94335298130002,187,2167.461427066503
160,68917.88641011623,0.1890383742507587,92,tech,22,0,0.36718392878368855,182.4495289874349,670,4340.068561288428
161,36967.605968394986,0.07219794301440775,9,services,13,0,0.35067388738979827,96.15794249046525,318,8270.338750759745
162,74456.69467631937,0.16725533449024033,12,retail,13,0,0.35368915499773235,49.27659976322129,812,524.8431470369495
163,94821.38360873809,0.18487552239477495,69,agriculture,9,1,0.2541611598728376,146.07055595159503,688,2706.478680512282
164,38261.80769870416,0.22981043269648865,54,retail,24,0,0.26928651613797683,52.90514079795656,369,20.201246364928622
165,83182.66535776955,0.2606378480597862,54,retail,15,0,0.29571288725833905,239.3540001905489,750,4319.9536522025455
166,60324.284468627986,0.07894340657204918,28,services,4,1,0.23983300931056056,144.02795067064457,177,1898.4229694807982
167,76067.78713461303,0.09323997421527631,56,services,13,0,0.4165773408157234,463.41990194704147,691,681.8606795450763
168,166496.86211591528,0.061969549875976845,99,tech,12,0,0.13955045609812997,113.95576094358368,109,4786.616787517677
169,45313.29369641133,0.13361860986251128,69,agriculture,5,0,0.1827279204961765,146.05426672195654,567,17310.11628217374
170,38889.63247839909,0.18264508621124342,98,beauty,7,0,0.3181978848384836,45.8006901178887,435,1459.6812640898804
171,37658.658619319984,0.21911341616123714,98,manufacturing,8,0,0.24481061727825615,61.35798705713841,735,722.543961597627
172,38306.093365115354,0.1446834283450234,77,services,5,1,0.1336827630884234,38.7457778100117,285,3818.213391586833
173,48267.53500346107,0.12761067337216092,58,manufacturing,9,0,0.379788798205328,351.42455428763947,645,402.0554442105047
174,58172.45307487325,0.16062305945741182,78,retail,14,1,0.21415689411085465,102.75592829407775,220,1107.0210459173325
175,56363.41121432604,0.09153999688589837,75,manufacturing,12,1,0.17329185438481387,429.0887616393818,691,18650.033894611515
176,76308.54106607244,0.29626771051863415,42,services,4,0,0.2738430438894149,17.383319426016183,817,3272.366965546897
177,50065.91848849514,0.03746372810173587,38,beauty,20,0,0.16601257537224035,512.0690702819102,664,177.8249348202448
178,117334.39229309453,0.1629318405227007,68,beauty,8,0,0.2948728006754266,140.55258475001065,767,201.24287844842974
179,45005.671958466075,0.29165243534607477,53,retail,17,0,0.24604517460400055,194.7814013768668,373,3801.4145976071213
180,341994.21027606697,0.15047598911919985,33,beauty,8,1,0.22311298443798594,63.41153695918049,509,10868.08578505219
181,67709.7229594803,0.1366972675498954,71,transport,21,0,0.22404996562031615,226.29329764324697,457,263.3720870718637
182,37937.02247450702,0.12497882040327009,56,retail,1,0,0.4493422746037866,110.04272320451987,746,5852.176435220649
183,36254.56742407064,0.13737258227663143,72,tech,20,0,0.3553826116916517,57.10185610574245,197,21927.904026878925
184,62571.174255905804,0.24609939322735713,51,retail,2,0,0.043620521072496976,56.478888738323285,340,50604.13047769373
185,45670.61385996011,0.0,74,retail,4,0,0.43244793081926847,55.68549225140007,656,4899.233972769935
186,71266.71107705278,0.2573403590907428,43,agriculture,24,0,0.37748355671997524,201.17831953665174,810,6375.411339758335
187,62264.36338054946,0.050322999328489826,15,retail,21,0,0.3686272352767554,89.2547559603128,213,121.53756094159267
188,48349.206008036985,0.13133433695359095,38,manufacturing,1,0,0.4331866329377627,39.96183986675996,586,69538.01232709795
189,38028.103226739906,0.11995289057909367,15,agriculture,7,0,0.30225450553661953,199.42527629016217,340,1257.3538598077587
190,33723.372925044656,0.1911987288839504,5,retail,1,0,0.3930125522417935,26.096896036136016,255,734.9432331072329
191,42376.52806461698,0.038131295368137655,93,services,9,0,0.23032920902154808,429.7732214519243,451,2032.8434339490036
192,77705.31779315448,0.182352086625736,83,manufacturing,3,0,0.4271370477313766,727.1468568244821,143,28782.13385238457
193,54714.83257470887,0.2917016736300797,54,manufacturing,12,0,0.3327170332560835,51.938538083261854,691,81802.98974029807
194,35121.98002636984,0.05457781967850325,51,tech,19,0,0.09345575183461596,344.45398298518984,411,3597.926618470751
195,53691.780678209594,0.1632794317327277,10,beauty,15,1,0.4554577451895816,196.22822634061276,237,13321.389545757738
196,59480.9740287644,0.10366124755423736,12,agriculture,22,0,0.2806643026844423,99.48123752152524,762,3180.5393650039464
197,37706.67791634189,0.1798121044335125,4,transport,16,0,0.25978159364732284,103.26536801197247,535,628.481624463691
198,53219.76602309175,0.15134034441910263,95,agriculture,10,1,0.2335998809035144,250.53099623323254,242,27312.93029392336
199,51031.11677525944,0.10509591636689831,18,beauty,22,1,0.24459545716076356,143.74477941676793,398,1172.4006690052545
200,35763.57625370256,0.1841510599409752,80,retail,6,0,0.3344452972610738,18.627382474048517,661,29830.784018740476
201,58658.55011757408,0.27630436768507205,36,beauty,17,0,0.1518630007252047,779.3120336953988,361,20906.428923623695
202,65290.07041875192,0.1366367345790891,25,manufacturing,21,0,0.0647080988276329,209.88071568558362,611,7487.980364830283
203,90046.25636891116,0.20038305595037273,87,tech,22,0,0.14033016913505675,142.36460039564415,772,46326.16199510888
204,88292.15982994021,0.05947089294901853,76,agriculture,24,1,0.3572576776260053,83.53464101264939,161,84839.71503140163
205,34389.31251415561,0.08304945362273937,98,manufacturing,17,0,0.27570927801551076,127.59122475928372,666,2291.8965820649682
206,37259.45415880336,0.18306843945162643,36,services,21,0,0.46697896868654665,409.66911901365376,522,886.0814021276828
207,63675.91409551539,0.25388812199751754,67,transport,19,0,0.29026309008824686,182.96497619955963,495,181.92513278385704
208,63632.86237869005,0.1748929344149962,9,agriculture,18,0,0.4263769662354294,200.39685982628072,130,86424.23240728787
209,63676.34233041398,0.12808593786337918,61,tech,11,0,0.19607780879248626,54.63438816025392,429,1541.447188029663
210,1000000.0,0.14995039837963478,53,services,24,1,0.2347286685896671,112.20143459052021,268,16359.356663761977
211,65656.70458428444,0.062471458622119766,18,manufacturing,7,0,0.30142862369004114,154.60001070471415,365,980.553245634625
212,93327.26349015256,0.19231607284487567,43,beauty,10,0,0.2779534526929293,259.1101017799126,407,29953.410235979823
213,82678.92220468255,0.21176331436263865,35,services,7,0,0.2639452452550941,106.4150518967256,558,1042.9657456014872
214,68713.34675708899,0.11835367670168437,63,services,5,0,0.16918281712377037,311.7791274835303,284,498.90779522721795
215,44225.327433696315,0.11709704965683489,98,manufacturing,12,0,0.06216569312010761,59.41325997293383,433,2180.3492591485274
216,73201.84417949518,0.1686114760756434,78,tech,16,1,0.3946524857982741,156.9032005934723,614,1342.5639342916315
217,38706.31044125068,0.1194296184771583,4,retail,21,0,0.37788905315365673,137.26427700598077,540,7291.391452526002
218,45452.02030673722,0.14537071697619242,93,beauty,18,1,0.20791961653894236,44.14937765899116,772,2759.783763851159
219,41874.23157548859,0.2969805252416561,41,retail,3,0,0.3568325681704254,142.85547782862594,490,7643.062035310893
220,51554.06094687004,0.13270820094778024,45,retail,20,0,0.27503309857950936,93.12255148235073,659,1926.5146921342364
221,237718.04111797136,0.12491618935851444,50,tech,15,0,0.46592576276884956,459.90492438191205,353,1099.2011233870492
222,32378.13488583578,0.10467207360553885,79,agriculture,5,0,0.10316106100119468,106.8894551806295,685,1242.224717579634
223,70115.6450568816,0.20209343800499557,28,beauty,13,1,0.2809910487655869,196.50668039924813,434,64049.28839062536
224,33301.10553054187,0.13731430787473278,42,manufacturing,19,0,0.26901798983265834,55.43251936826927,499,4178.703869387346
225,42045.69518503484,0.10454388731750017,80,tech,12,0,0.32416739382842663,179.33491922749704,265,152.0723943105215
226,90406.30538762192,0.24249128225911085,76,tech,23,0,0.53057067163227,106.48061535241379,359,1366.06070596287
227,51164.098772335994,0.2493722103159546,69,services,21,1,0.281442424479227,79.7565454436554,103,3447.136097819581
228,36206.35292725093,0.10797035039829063,98,agriculture,5,0,0.41146982697873014,1432.4102380091267,218,47481.693791466496
229,39269.50620183212,0.01934220340475684,1,transport,6,0,0.27782756023863436,111.85918203867192,569,13947.395591012084
230,69843.91427163358,0.22052595828858457,39,services,7,0,0.46063694150618806,125.2661728952002,569,748.0151600960087
231,39118.879359101564,0.1020759121967997,96,tech,10,0,0.4129272496800407,305.39156173609507,592,112143.39348411316
232,54775.256435222254,0.2053437919413938,90,manufacturing,16,0,0.2500027508237994,80.25897989710131,837,2844.832452179076
233,50756.902085914495,0.012092732760171504,17,services,8,1,0.23920484087949853,204.91962353314455,599,19331.568585086174
234,39932.22408594153,0.21248181368095165,91,retail,9,0,0.37304409591445176,223.2419877456478,169,527.1511153858395
235,204992.77319906163,0.0652179649503453,88,manufacturing,4,0,0.20168909405930885,180.5053362719344,793,81.67560436754877
236,68028.85571411622,0.2011534883346567,35,tech,21,0,0.3285948893446816,931.756442499676,469,360.44982467603495
237,31913.129871270856,0.15099911474855038,46,retail,21,0,0.24663051331051838,77.99032342790365,280,22.748513115632395
238,54019.11471078839,0.08322424064223485,42,transport,8,0,0.3552153972235219,507.7963499409318,104,70836.8051159736
239,39823.40011354542,0.12150745809512536,39,services,7,1,0.27584736365063706,216.52636578410463,296,4112.553393986899
240,77513.32967970712,0.19804229198696904,90,transport,15,1,0.19611282339143005,307.21864431208326,146,744.7391123816492
241,38520.7965842701,0.1574126117180664,49,agriculture,21,1,0.46579603611054177,194.99764807686765,651,5877.789559560085
242,47563.05335273547,0.1909089086330739,62,agriculture,3,1,0.33593343558650723,666.8878436955968,733,3960.006930092085
243,63331.176713725,0.288350840916084,38,manufacturing,17,0,0.2919621937021709,114.88569314380797,746,7565.850862203029
244,78161.33759036886,0.04050308718022638,23,agriculture,11,0,0.3629983117831207,220.9145976268956,239,18293.42714128862
245,35397.5684160496,0.2632048802478037,22,beauty,9,0,0.049321900065505075,421.73550513618625,764,1929.6969917161493
246,43939.010238976145,0.1573049156266249,4,manufacturing,5,0,0.613527723714909,94.90969327041391,639,796.5110805855624
247,42007.02608421472,0.08708511661738101,49,beauty,10,0,0.30370316458284874,330.41496752196457,526,10318.181595852384
248,39913.67525055128,0.05687804619827069,59,manufacturing,15,0,0.00552406351780127,146.21664555564936,688,9931.821426218276
249,149597.73829126375,0.13676157264560765,73,tech,14,0,0.4795641789388434,55.26241926044876,786,3467.2037494318392
