sme_id,business_name,revenue,profit_margin,debt_ratio,collateral_value,marketing_spend,employee_count,staff_count,age_of_business,sector,previous_funding_received,previous_funding_amount,default_history,loan_applications_count,funding_requested_amount,expected_roi,project_duration_months,business_stage,collateral_offered,business_registration_uploaded,tax_clearance_uploaded,financial_statements_uploaded,tax_registered,tax_paid_last_year,licenses_required,licenses_up_to_date,total_payroll,cost_per_hire,nssf_contribution_percent,nhif_contribution_percent,staff_turnover_rate,bank_balance,m_pesa_balance,pending_invoices,paid_invoices,late_payments,campaign_spend,clicks,impressions,conversions,target_segment,total_customers,active_customers,repeat_customers,channels_used,owner_age,owner_gender,education_level,employment_status,location,eligible_for_funding,default_risk,business_health_score,probability_score,liquidity_months,liquidity_score,debt_management_score,revenue_stability_score,financial_health_score,revenue_per_employee,employee_productivity_score,payroll_ratio,payroll_efficiency_score,invoice_completion_rate,invoice_mgmt_score,staff_retention_score,operational_efficiency_score,documentation_score,tax_compliance_score,license_compliance_score,compliance_health_score,customer_growth_rate,customer_retention_rate,market_expansion_score,marketing_roi,marketing_conversion,market_effectiveness_score,maturity_score,funding_track_score,growth_potential_score,comprehensive_health_score,health_category,liquidity_risk,debt_risk,profitability_risk,compliance_risk,growth_stagnation_risk,total_risk_flags
11,SME_11,42155.58249898453,0.0374708094941717,0.3033946279015304,0.0,44434.66073923992,89,7,2,beauty,1,20848.189841651496,0,7,708539.6032932185,0.1133578430117647,26,mature,0,1,1,0,1,1,1,1,192171.6077631423,37261.30368306934,0.092143333831892,0.0388525610341961,0.1296230782624124,26696.009917222447,46841.19650065128,19,7,24,49945.87408623169,4711,81328,283,high,3221,2557,2507,online,42,female,master,employed,Other,1,medium,29.7,1.124124284825151,20.933087024375517,25.0,17.41513430246174,15.416216873301885,58.95547546058878,473.65823032566885,0.2841949381954013,4.558627739701413,0.0,0.2692307692307692,6.730769230769231,17.407538434751753,24.422502603716385,20,35,30,85,0.7938528407326917,0.9804458349628471,26.614480135433084,0.9487094488325247,0.06007217151347909,7.57275589634081,5.0,20,59.18723603177389,55.6,At Risk,0,0,1,0,0,1
12,SME_12,42125.64952366253,0.096609265500365,0.0891655419215569,5824.362092448812,12011.358319777266,64,38,24,retail,1,117228.99201796936,0,2,189961.76285044648,0.1324803330686358,13,growth,1,1,1,0,0,0,3,1,423256.15564923343,33457.98332350318,0.0930208291563178,0.0399743223211838,0.2158576183574244,173350.56909695888,23724.99201632265,4,45,46,6375.444370403682,2087,34954,170,medium,1209,1209,1209,physical,38,male,none,employed,Nairobi,0,low,46.5,2.89827796501095,56.13935357912949,25.0,22.77086145196108,15.415188616134321,66.08432803310635,658.213273807227,0.3949279642843362,10.047468951463523,0.0,0.9183673469387755,22.95918367346939,15.682847632851512,39.03695927060524,20,0,30,50,1.0,1.0,30.0,3.507151181586238,0.08145663632007666,16.278502413549667,25.0,20,91.27850241354966,61.1,Stable,0,0,0,0,0,0
13,SME_13,55436.05917095019,0.0961600355148891,0.1522510311274477,4021.521640795522,14010.820349528552,49,20,14,services,1,62660.98794465382,1,8,486521.79400506144,0.2622355798208873,32,growth,1,1,0,1,1,1,2,1,276808.4254730556,14648.988875442414,0.1181890557219736,0.0433971019762498,0.1085943054110943,27400.9290123594,38460.52898714798,19,26,18,38756.896777159775,3471,48061,240,high,3368,1206,38,mobile,46,male,none,self-employed,Nairobi,0,high,53.4,2.8848010654466725,14.256740248380504,25.0,21.19372422181381,15.812666134542631,64.89119142180311,1131.3481463459223,0.6788088878075533,4.993291904452505,0.0,0.5777777777777777,14.444444444444443,17.828113891778116,32.951367224030115,20,35,30,85,0.3580760095011877,0.03150912106135987,5.843776958438213,3.9566604801135394,0.06914433880726016,17.04448731886333,25.0,10,57.888264277301545,59.5,At Risk,0,0,0,0,0,0
14,SME_14,32234.943934585943,0.0842067829223794,0.329802001432111,15386.862213491451,2656.0312099500547,72,17,16,tech,0,0.0,0,4,477546.5372006547,0.098228363950478,35,mature,1,1,1,0,1,1,3,1,276380.9403975698,41688.37960687506,0.0854268733363538,0.0255771507958085,0.0531865653733728,183049.87151586267,5637.831897184287,11,5,15,43385.83082775178,1639,36850,74,high,952,952,952,online,40,male,phd,self-employed,Mombasa,1,low,34.9,2.526203487671382,70.24217090469861,25.0,16.754949964197223,15.027800218141802,59.30895367001041,447.707554647027,0.2686245327882162,8.573954431514661,0.0,0.3125,7.8125,18.936268692532543,27.01739322532076,20,35,30,85,1.0,1.0,30.0,12.13650796490155,0.04514948139109213,25.0,25.0,10,90.0,62.5,Stable,0,0,0,0,0,0
15,SME_15,32865.20977718682,0.2080632389352223,0.2881398987203165,6115.0285385750985,39779.09182711414,17,13,17,retail,1,65123.99932880384,0,7,502661.4251669612,0.2548227719751013,23,startup,1,1,1,1,1,1,4,0,242625.1652580457,30312.112240289043,0.0501792521174014,0.0385678113311726,0.0676059321438664,58362.972206899685,30096.85753703496,15,6,25,15321.428594699804,3967,54429,109,low,4463,3250,1354,physical,53,male,bachelor,employed,Kisumu,1,medium,59.9,6.241897168056669,32.299138332719906,25.0,17.796502531992086,15.055830986625029,64.09423068667378,1933.2476339521659,1.1599485803712994,7.382431662628925,0.0,0.2857142857142857,7.142857142857142,18.64788135712267,26.950687080351113,30,35,0,65,0.7282097244006274,0.4166153846153846,17.172376635240177,0.8261930644375673,0.02747668263171162,6.43448531329467,25.0,20,68.60686194853484,55.9,At Risk,0,0,0,0,0,0
16,SME_16,40935.40226925652,0.1364321702859037,0.213131383554638,818.9603176278198,20852.76181163528,73,14,11,services,1,364871.8362803497,0,3,544977.3472300769,0.2827464085021335,7,growth,1,0,1,0,1,1,3,1,356406.2667930123,10013.730350855216,0.052168575042764,0.0329017876051955,0.1589736852309373,69342.91544879865,1661.6447445675262,9,25,32,27081.160241121728,3431,15241,215,high,1058,1058,1058,online,21,female,master,self-employed,Other,1,low,56.8,4.092965108577111,20.814617057282664,25.0,19.67171541113405,15.373697792753342,64.13837831246451,560.7589351952948,0.3364553611171769,8.70655342406839,0.0,0.7352941176470589,18.38235294117647,16.820526295381253,35.5393345976749,10,35,30,75,1.0,1.0,30.0,1.96306861599578,0.06266394637132032,11.802213454893808,25.0,20,86.8022134548938,63.7,Stable,0,0,0,0,0,0
17,SME_17,36676.63875692987,0.1314839611082572,0.2278749315732031,78264.01994560087,11455.830695569952,32,41,2,tech,0,0.0,0,8,50549.62067137624,0.2667639875513339,7,growth,1,1,1,1,1,0,1,1,129042.35861226617,47102.07837790925,0.0976978693443911,0.0296864934722179,0.1503610342431993,107488.02358110124,13742.2797165538,5,41,14,47618.77320785294,709,34390,15,medium,1272,1272,1272,online,28,male,master,self-employed,Kisumu,0,low,38.5,3.9445188332477152,39.6645845660268,25.0,19.303126710669922,15.21467012795554,63.462315671873185,1146.1449611540584,0.6876869766924351,3.5183801729345836,0.0,0.8913043478260869,22.282608695652172,16.992779315136012,39.963074987480624,30,20,30,80,1.0,1.0,30.0,3.201569552796636,0.021156558533145273,14.671929963262667,5.0,10,59.67192996326267,60.1,Stable,0,0,0,0,0,0
18,SME_18,57403.19719616737,0.0097296344915272,0.4044251995738933,0.0,11589.513880828985,70,25,24,transport,1,45955.41097445023,1,7,692575.103228751,0.2233625373654158,23,growth,0,1,1,1,1,0,4,1,474614.6313121389,49477.58317879652,0.0648057859936451,0.0344832401778218,0.1883362972351276,41680.22341891648,33612.42516431485,11,29,36,47757.745118573046,3468,86545,88,high,176,176,176,physical,50,male,master,self-employed,Eldoret,0,high,40.2,0.291889034745816,15.739746688867369,25.0,14.88937001065267,15.863144344014257,56.04440338941274,820.0456742309624,0.4920274045385774,8.268087049057739,0.0,0.725,18.125,16.23327405529745,34.85030145983603,30,20,30,80,1.0,1.0,30.0,4.95302890064457,0.025374855824682813,18.21962432699881,25.0,10,83.21962432699881,61.0,Stable,0,0,1,0,0,1
19,SME_19,37503.42487395426,0.1944792621146458,0.2223461140696178,0.0,45069.99706146166,21,43,23,manufacturing,1,408237.72422147705,0,4,497447.9397826744,0.0195827345405281,27,startup,0,1,1,1,0,0,2,0,97075.70072322318,29195.2608666152,0.0834936515043245,0.0344388350004856,0.183361910031658,139267.9225934079,9406.544217427489,6,16,19,46505.59671724265,1987,54792,278,high,1102,1102,106,physical,51,female,highschool,employed,Eldoret,0,low,57.0,5.834377863439374,47.57148467709836,25.0,19.441347148259556,15.246940596369111,65.52266560806804,1785.877374950203,1.0715264249701217,2.588448949648896,0.0,0.7272727272727273,18.181818181818183,16.33276179936684,35.58610640615514,30,0,0,30,1.0,0.09618874773139746,16.442831215970962,0.832115094722795,0.13990941117262204,8.153352056678338,25.0,20,69.5961832726493,51.7,At Risk,0,0,0,1,0,1
20,SME_20,34212.46215849332,0.0632519123602569,0.286786313395639,12656.01828256606,41695.83002305184,7,31,5,tech,0,0.0,0,2,795146.090891325,0.0789284200422546,12,startup,1,1,1,1,1,1,1,1,369634.89836075145,39941.55923327468,0.0885960579377781,0.039181113511708,0.1488135731989233,107158.9985800192,10806.977194351142,9,5,4,13745.33437284996,4657,28232,186,high,908,908,759,mobile,29,female,bachelor,self-employed,Mombasa,0,low,35.6,1.897557370807707,41.37649324198142,25.0,17.830342165109027,15.113988985729119,59.841888521645856,4887.494594070474,2.9324967564422844,10.80410105090869,0.0,0.35714285714285715,8.928571428571429,17.023728536021533,28.884796721035247,30,35,30,95,1.0,0.8359030837004405,27.53854625550661,0.8205247896391248,0.03993987545630234,6.590346186650152,12.5,10,56.62889244215676,58.5,At Risk,0,0,0,0,0,0
21,SME_21,118408.67819944763,0.1541952841186429,0.6254904882120814,4333.697656832356,27676.544267859164,7,38,16,transport,1,125523.1413031508,0,0,819042.5817952219,0.0644624115674855,21,growth,1,1,1,1,1,1,4,1,366936.2011556979,31249.071765905243,0.0967145078937477,0.0367765512497541,0.0828069358904824,189492.01847939708,4024.202592875864,15,2,47,2977.166498263856,3001,41585,358,low,4633,2450,1697,mobile,55,female,none,employed,Kisumu,1,medium,30.2,4.625858523559287,19.611693063204115,25.0,9.362737794697965,16.91128944538704,55.89988576364429,16915.525457063948,10.149315274238369,3.098896185105879,0.0,0.11764705882352941,2.941176470588235,18.343861282190353,31.434353027016957,30,35,30,95,0.528815022663501,0.6926530612244898,18.32202125831986,4.278304294548648,0.11929356881039653,18.425452430165414,25.0,20,81.74747368848527,62.8,Stable,0,1,0,0,0,1
22,SME_22,45632.539398308,0.1694163856570734,0.0864476044674115,5425.374940132885,30805.54002078605,27,27,16,manufacturing,1,448393.77542300726,0,4,245924.4195518831,0.1621622425272749,34,startup,1,1,1,0,1,0,2,1,101271.99669035306,23999.258469598644,0.0558622656644692,0.0389382330394241,0.123215394989743,182687.33452786552,37622.0115106466,2,18,39,5139.500933675978,1670,36481,290,medium,3459,3459,690,online,44,female,bachelor,self-employed,Nairobi,1,low,49.8,5.082491569712202,57.934802387091594,25.0,22.838809888314714,15.530946057631581,68.4522475156585,1690.0940517891852,1.014056431073511,2.219293469653107,0.0,0.9,22.5,17.53569210020514,41.04974853127865,20,20,30,70,1.0,0.199479618386817,17.992194275802255,1.4813095101568556,0.17365269461077845,11.692654910242307,25.0,20,74.68484918604456,63.2,Stable,0,0,0,0,0,0
23,SME_23,51235.57722976878,0.2452461017087056,0.0222235902638012,125276.1773491407,23716.27852751455,8,38,2,tech,1,32176.573796570214,0,4,67454.48749824225,0.2031241122977947,20,startup,1,1,1,1,1,1,4,1,496869.2387637331,23409.861517281093,0.1032030577628703,0.0494148299625554,0.1269390802775988,155094.06938926206,22949.3062405469,15,18,23,7093.832709843922,2820,84432,216,high,3635,234,234,mobile,20,male,bachelor,self-employed,Other,1,medium,84.2,7.357383051261167,41.699940218812465,25.0,24.44441024340497,15.698599229550798,72.50039252421693,6404.4471537210975,3.8426682922326587,9.697738673568477,0.0,0.5454545454545454,13.636363636363635,17.461218394448025,34.94025032304432,30,35,30,95,0.06437414030261349,1.0,15.965612104539202,2.1603548453155326,0.07659574468085106,12.655779311371015,5.0,20,53.62139141591022,63.8,Stable,0,0,0,0,0,0
24,SME_24,34150.398969150854,0.0583825720616621,0.417538449719791,1973.0145047498856,19583.32714394044,73,42,16,agriculture,0,0.0,0,3,709169.1789900762,0.0808918168315158,17,startup,1,1,1,1,1,1,2,1,65441.2451163563,48394.143450668096,0.1144117610475414,0.0443139536381044,0.2309216747185553,41038.494556672886,44509.534148971965,11,23,5,33583.908035783905,2563,80644,124,medium,2028,2028,531,online,41,female,bachelor,employed,Nairobi,1,medium,51.2,1.751477161849863,30.06044952491119,25.0,14.561538757005227,15.111360568569605,56.424376487424695,467.8136845089158,0.28068821070534944,1.9162659029392737,0.0,0.6764705882352942,16.911764705882355,15.381566505628895,32.5740194222166,30,35,30,95,1.0,0.2618343195266272,18.92751479289941,1.7438507112780282,0.048380803745610615,10.819335084910986,25.0,10,64.74684987781039,59.8,At Risk,0,0,0,0,0,0
25,SME_25,41147.52018456197,0.0,0.1982035408058845,0.0,45773.84406091658,28,31,5,services,1,378502.9946248719,0,9,978207.5326945968,0.1827322662970671,26,growth,0,1,1,1,1,0,2,1,214110.4845911245,21595.39233945889,0.0679021875663258,0.0287617461264939,0.1452170568224442,46689.39379759847,18750.701230079976,7,27,11,40121.86569708154,4614,66139,168,medium,3046,812,812,physical,24,female,bachelor,self-employed,Eldoret,0,medium,42.3,0.0,19.084531383905098,25.0,20.044911479852885,15.381179624638579,60.42609110449146,1469.5542923057844,0.8817325753834706,5.203484526667929,0.0,0.7941176470588235,19.852941176470587,17.095658863551115,37.83033261540517,30,20,30,80,0.2665791201575837,1.0,18.998686802363757,0.8989308420285212,0.036410923276983094,6.959073979826902,12.5,20,58.45776078219066,58.3,At Risk,0,0,1,0,0,1
26,SME_26,52213.10715910516,0.1628694681327586,0.252264370838607,0.0,6280.635176015104,79,12,8,agriculture,0,0.0,0,9,457724.826849283,0.2684204407130666,7,startup,0,1,1,1,0,1,3,0,241146.61296603383,27070.43842151468,0.076631225317112,0.0360045968461022,0.2013813316638379,57352.37325994088,22327.59275859088,4,34,3,2516.286001895529,4682,65885,372,high,4853,136,136,physical,52,male,bachelor,self-employed,Kisumu,1,medium,41.9,4.886084043982758,18.31263535626689,25.0,18.693390729034824,15.725958382174346,64.30543315519192,660.9254070772805,0.39655524424636834,4.618507230975654,0.0,0.8947368421052632,22.36842105263158,15.972373366723243,38.737349663601194,30,15,0,45,0.028023902740572842,1.0,15.420358541108593,8.313348203777215,0.07945322511747116,23.506284995189468,20.0,10,68.92664353629806,55.0,At Risk,0,0,0,1,0,1
27,SME_27,35711.078887201074,0.2760357827057598,0.1828265432803328,0.0,20922.3394858114,66,14,20,services,0,0.0,0,7,274420.55340172385,0.100127407125632,34,growth,0,1,1,1,1,1,1,1,411262.7779667634,16182.085363944418,0.1020672708903855,0.0268808301911227,0.1604821821899329,167658.14927829732,25251.126708039345,16,34,47,44520.265075737,2234,70190,486,low,366,366,366,mobile,36,male,highschool,self-employed,Mombasa,1,low,51.7,8.281073481172793,64.82333729395414,25.0,20.42933641799168,15.176049342419923,68.88645924158439,541.0769528363799,0.3246461717018279,11.51639185323412,0.0,0.68,17.0,16.790356356201343,34.11500252790317,30,35,30,95,1.0,1.0,30.0,1.7068396634811676,0.21754700089525514,13.221022798851271,25.0,10,78.22102279885127,67.3,Stable,0,0,0,0,0,0
28,SME_28,59191.03100622514,0.2367262447057606,0.2610299788848731,311.1263048692763,17228.095399393766,71,17,14,tech,1,40392.18892286373,0,2,173538.45669181136,0.1181542326685958,11,mature,1,1,1,1,1,1,2,1,63417.821495428,16397.692450034687,0.0673908463874037,0.0355666384219814,0.1463689250516611,131349.38104485185,43184.59585077565,19,4,42,37365.18510948369,1585,49446,364,low,2783,2783,1431,online,41,female,phd,self-employed,Kisumu,1,low,67.7,7.101787341172818,35.38386960225884,25.0,18.474250527878173,15.907542987933208,66.4835808569842,833.6764930454244,0.5002058958272547,1.071409306737001,0.0,0.17391304347826086,4.3478260869565215,17.07262149896678,21.920653481750556,30,35,30,95,1.0,0.5141933165648581,22.71289974847287,3.435726912001427,0.22965299684542587,18.341710010942197,25.0,20,86.05460975941507,65.0,Stable,0,0,0,0,0,0
29,SME_29,40493.63731489165,0.1646761590692238,0.5397807168144512,156.28263999757178,24907.53601255742,47,38,10,manufacturing,1,430458.2553902225,0,9,301696.68544277333,0.3180959498854198,7,growth,1,0,1,1,1,0,2,1,300659.0713864948,21030.219293636623,0.0879571194734363,0.0413624708630282,0.126749582908604,39238.14253619255,15317.133789108731,19,37,12,26514.288816927263,2884,58495,352,medium,3449,443,443,mobile,38,male,bachelor,self-employed,Eldoret,0,low,59.7,4.940284772076714,16.16706621864421,25.0,11.505482079638721,15.357990600404555,56.80375745211999,861.5667513806733,0.5169400508284039,7.424847243246449,0.0,0.6607142857142857,16.517857142857142,17.465008341827918,34.49980553551346,20,20,30,70,0.1284430269643375,1.0,16.926645404465063,1.6257584569776922,0.12205270457697642,11.484488471665886,25.0,20,73.41113387613095,57.2,At Risk,0,0,0,0,0,0
30,SME_30,44583.904812337474,0.1155854670057566,0.4203192687927178,0.0,22881.593727258754,82,5,23,services,1,163711.84265425228,0,8,341361.1603440208,0.1072699785074801,7,mature,0,0,1,0,1,1,3,1,141800.45811614656,46614.99363158651,0.0961962785441083,0.0219731248564722,0.1760914725813491,94360.31510112148,3527.398824257174,13,5,46,49498.01596398094,3228,89861,405,low,4757,793,793,online,54,female,none,self-employed,Nairobi,0,low,38.8,3.4675640101726977,26.34700957775884,25.0,14.492018280182057,15.497291690839043,58.456873981193795,543.706156248018,0.32622369374881083,3.1805302544273073,0.0,0.2777777777777778,6.944444444444445,16.478170548373015,23.74883868656627,10,35,30,75,0.16670170275383644,1.0,17.500525541307546,1.9484615164382033,0.12546468401486988,12.694805404837991,25.0,20,75.19533094614553,56.4,At Risk,0,0,0,0,0,0
