sme_id,business_name,revenue,profit_margin,debt_ratio,collateral_value,marketing_spend,employee_count,staff_count,age_of_business,sector,previous_funding_received,previous_funding_amount,default_history,loan_applications_count,funding_requested_amount,expected_roi,project_duration_months,business_stage,collateral_offered,business_registration_uploaded,tax_clearance_uploaded,financial_statements_uploaded,tax_registered,tax_paid_last_year,licenses_required,licenses_up_to_date,total_payroll,cost_per_hire,nssf_contribution_percent,nhif_contribution_percent,staff_turnover_rate,bank_balance,m_pesa_balance,pending_invoices,paid_invoices,late_payments,campaign_spend,clicks,impressions,conversions,target_segment,total_customers,active_customers,repeat_customers,channels_used,owner_age,owner_gender,education_level,employment_status,location,eligible_for_funding,default_risk,business_health_score,revenue_6m_ago,customers_6m_ago,marketing_spend_6m_ago,revenue_growth_6m,revenue_velocity,customer_growth_6m,customer_velocity,customer_retention_rate,customer_activation_rate,customer_acquisition_rate,cash_runway_months,debt_capacity,reinvestment_capacity,revenue_per_employee,operational_leverage,staff_stability,customer_base_growth,market_penetration_velocity,marketing_roi,marketing_efficiency,marketing_intensity,conversion_rate,marketing_growth_potential,has_funding_track,funding_growth_boost,composite_growth_score,predicted_6m_growth_rate,predicted_6m_revenue,current_revenue_category,predicted_revenue_category,will_jump_category,growth_stage
11,SME_11,42155.58249898453,0.0374708094941717,0.3033946279015304,0.0,44434.66073923992,89,7,2,beauty,1,20848.189841651496,0,7,708539.6032932185,0.1133578430117647,26,mature,0,1,1,0,1,1,1,1,192171.6077631423,37261.30368306934,0.092143333831892,0.0388525610341961,0.1296230782624124,26696.009917222447,46841.19650065128,19,7,24,49945.87408623169,4711,81328,283,high,3221,2557,2507,online,42,female,master,employed,Other,1,medium,29.7,38196.22898252736,3062.0,44962.70660638128,0.10365823071875364,0.017276371786458942,0.0519268451992162,0.008654474199869366,0.9804458349628471,0.7938528407326917,26.5,20.933087024375517,0.6966053720984696,1579.6038009352876,473.65823032566885,0.009473164606513377,0.8703769217375876,0.0519268451992162,0.008654474199869366,0.9487094488325247,0.06671673323638624,1.0540634977659313,0.06007217151347909,0.9999999999999999,1,0.4945534756198352,29.7,0.046,44094.73929393782,Small,Small,0,Stable
12,SME_12,42125.64952366253,0.096609265500365,0.0891655419215569,5824.362092448812,12011.358319777266,64,38,24,retail,1,117228.99201796936,0,2,189961.76285044648,0.1324803330686358,13,growth,1,1,1,0,0,0,3,1,423256.15564923343,33457.98332350318,0.0930208291563178,0.0399743223211838,0.2158576183574244,173350.56909695888,23724.99201632265,4,45,46,6375.444370403682,2087,34954,170,medium,1209,1209,1209,physical,38,male,none,employed,Nairobi,0,low,46.5,42997.56062340242,1197.0,11026.602231042401,-0.020278152692814362,-0.00337969211546906,0.010025062656641603,0.001670843776106934,1.0,1.0,2.0,56.13935357912949,0.9108344580784431,4069.7280592068373,658.213273807227,0.01316426547614454,0.7841423816425757,0.010025062656641603,0.001670843776106934,3.507151181586238,0.15056652868748518,0.28513170611245603,0.08145663632007666,1.0,1,1.0,31.5,0.114,46927.97356936006,Small,Small,0,Growing
13,SME_13,55436.05917095019,0.0961600355148891,0.1522510311274477,4021.521640795522,14010.820349528552,49,20,14,services,1,62660.98794465382,1,8,486521.79400506144,0.2622355798208873,32,growth,1,1,0,1,1,1,2,1,276808.4254730556,14648.988875442414,0.1181890557219736,0.0433971019762498,0.1085943054110943,27400.9290123594,38460.52898714798,19,26,18,38756.896777159775,3471,48061,240,high,3368,1206,38,mobile,46,male,none,self-employed,Nairobi,0,high,53.4,55394.494260660205,3367.0,13472.952031118131,0.0007503437091491351,0.00012505728485818918,0.000297000297000297,4.9500049500049496e-05,0.03150912106135987,0.3580760095011877,0.16666666666666666,14.256740248380504,0.8477489688725524,5330.7334186840635,1131.3481463459223,0.022626962926918445,0.8914056945889057,0.000297000297000297,4.9500049500049496e-05,3.9566604801135394,0.16007322236754426,0.25273839012118227,0.06914433880726016,1.0,1,1.0,31.1,-0.031,53717.541336650735,Small,Small,0,Stable
14,SME_14,32234.943934585943,0.0842067829223794,0.329802001432111,15386.862213491451,2656.0312099500547,72,17,16,tech,0,0.0,0,4,477546.5372006547,0.098228363950478,35,mature,1,1,1,0,1,1,3,1,276380.9403975698,41688.37960687506,0.0854268733363538,0.0255771507958085,0.0531865653733728,183049.87151586267,5637.831897184287,11,5,15,43385.83082775178,1639,36850,74,high,952,952,952,online,40,male,phd,self-employed,Mombasa,1,low,34.9,30412.218043829194,924.0,2179.154051204704,0.0599340004773703,0.009989000079561716,0.030303030303030304,0.005050505050505051,1.0,1.0,4.666666666666667,70.24217090469861,0.670197998567889,2714.400926414749,447.707554647027,0.00895415109294054,0.9468134346266271,0.030303030303030304,0.005050505050505051,12.13650796490155,0.2575395221641283,0.08239602387210329,0.04514948139109213,0.9999999999999999,0,0.0,31.9,0.034,33330.932028361865,Small,Small,0,Stable
15,SME_15,32865.20977718682,0.2080632389352223,0.2881398987203165,6115.0285385750985,39779.09182711414,17,13,17,retail,1,65123.99932880384,0,7,502661.4251669612,0.2548227719751013,23,startup,1,1,1,1,1,1,4,0,242625.1652580457,30312.112240289043,0.0501792521174014,0.0385678113311726,0.0676059321438664,58362.972206899685,30096.85753703496,15,6,25,15321.428594699804,3967,54429,109,low,4463,3250,1354,physical,53,male,bachelor,employed,Kisumu,1,medium,59.9,31418.49392111747,4363.0,36301.39533236493,0.04604663290677219,0.007674438817795365,0.022920009168003668,0.0038200015280006115,0.4166153846153846,0.7282097244006274,16.666666666666668,32.299138332719906,0.7118601012796835,6838.041994527026,1933.2476339521659,0.03866495267904332,0.9323940678561335,0.022920009168003668,0.0038200015280006115,0.8261930644375673,0.06022335073818995,1.2103708479818238,0.02747668263171162,1.0,1,1.0,28.4,0.066,35034.31362248115,Small,Small,0,Growing
16,SME_16,40935.40226925652,0.1364321702859037,0.213131383554638,818.9603176278198,20852.76181163528,73,14,11,services,1,364871.8362803497,0,3,544977.3472300769,0.2827464085021335,7,growth,1,0,1,0,1,1,3,1,356406.2667930123,10013.730350855216,0.052168575042764,0.0329017876051955,0.1589736852309373,69342.91544879865,1661.6447445675262,9,25,32,27081.160241121728,3431,15241,215,high,1058,1058,1058,online,21,female,master,self-employed,Other,1,low,56.8,40091.720344446345,1047.0,25192.463912424213,0.021043794518212654,0.0035072990863687756,0.010506208213944603,0.0017510347023241004,1.0,1.0,1.8333333333333333,20.814617057282664,0.786868616445362,5584.905773121174,560.7589351952948,0.011215178703905896,0.8410263147690626,0.010506208213944603,0.0017510347023241004,1.96306861599578,0.10862254259324004,0.5094065443518606,0.06266394637132032,0.9999999999999999,1,1.0,29.6,0.054,43145.91399179638,Small,Small,0,Growing
17,SME_17,36676.63875692987,0.1314839611082572,0.2278749315732031,78264.01994560087,11455.830695569952,32,41,2,tech,0,0.0,0,8,50549.62067137624,0.2667639875513339,7,growth,1,1,1,1,1,0,1,1,129042.35861226617,47102.07837790925,0.0976978693443911,0.0296864934722179,0.1503610342431993,107488.02358110124,13742.2797165538,5,41,14,47618.77320785294,709,34390,15,medium,1272,1272,1272,online,28,male,master,self-employed,Kisumu,0,low,38.5,34972.869396663555,1242.0,7979.195845844365,0.04871688796655771,0.008119481327759618,0.024154589371980676,0.004025764895330112,1.0,1.0,5.0,39.6645845660268,0.7721250684267968,4822.389743897765,1146.1449611540584,0.022922899223081168,0.8496389657568006,0.024154589371980676,0.004025764895330112,3.201569552796636,0.14354581585265486,0.312346798502778,0.021156558533145273,1.0,0,0.0,31.0,0.091,40014.21288381048,Small,Small,0,Growing
18,SME_18,57403.19719616737,0.0097296344915272,0.4044251995738933,0.0,11589.513880828985,70,25,24,transport,1,45955.41097445023,1,7,692575.103228751,0.2233625373654158,23,growth,0,1,1,1,1,0,4,1,474614.6313121389,49477.58317879652,0.0648057859936451,0.0344832401778218,0.1883362972351276,41680.22341891648,33612.42516431485,11,29,36,47757.745118573046,3468,86545,88,high,176,176,176,physical,50,male,master,self-employed,Eldoret,0,high,40.2,52915.51688176756,169.0,11155.920160525055,0.08480839985796446,0.014134733309660743,0.04142011834319527,0.006903353057199212,1.0,1.0,1.1666666666666667,15.739746688867369,0.5955748004261068,558.5121273637675,820.0456742309624,0.016400913484619247,0.8116637027648724,0.04142011834319527,0.006903353057199212,4.95302890064457,0.17839001489628567,0.20189666163059608,0.025374855824682813,1.0,1,0.8005723238272611,29.9,0.049,60215.95385877957,Small,Small,0,Stable
19,SME_19,37503.42487395426,0.1944792621146458,0.2223461140696178,0.0,45069.99706146166,21,43,23,manufacturing,1,408237.72422147705,0,4,497447.9397826744,0.0195827345405281,27,startup,0,1,1,1,0,0,2,0,97075.70072322318,29195.2608666152,0.0834936515043245,0.0344388350004856,0.183361910031658,139267.9225934079,9406.544217427489,6,16,19,46505.59671724265,1987,54792,278,high,1102,1102,106,physical,51,female,highschool,employed,Eldoret,0,low,57.0,36620.31244026478,1089.0,46438.44733223823,0.024115371356539246,0.004019228559423208,0.011937557392102846,0.0019895928986838076,0.09618874773139746,1.0,2.1666666666666665,47.57148467709836,0.7776538859303822,7293.638396258678,1785.877374950203,0.035717547499004056,0.816638089968342,0.011937557392102846,0.0019895928986838076,0.832115094722795,0.06054710889089008,1.2017568318877008,0.13990941117262204,1.0,1,1.0,28.8,0.075,40316.181739500826,Small,Small,0,Growing
20,SME_20,34212.46215849332,0.0632519123602569,0.286786313395639,12656.01828256606,41695.83002305184,7,31,5,tech,0,0.0,0,2,795146.090891325,0.0789284200422546,12,startup,1,1,1,1,1,1,1,1,369634.89836075145,39941.55923327468,0.0885960579377781,0.039181113511708,0.1488135731989233,107158.9985800192,10806.977194351142,9,5,4,13745.33437284996,4657,28232,186,high,908,908,759,mobile,29,female,bachelor,self-employed,Mombasa,0,low,35.6,34183.08766006663,908.0,34956.69971145389,0.0008593284117222839,0.00014322140195371398,0.0,0.0,0.8359030837004405,1.0,0.0,41.37649324198142,0.713213686604361,2164.003658077625,4887.494594070474,0.09774989188140948,0.8511864268010767,0.0,0.0,0.8205247896391248,0.05991248054805617,1.2187322218988779,0.03993987545630234,0.9999999999999999,0,0.0,27.6,0.115,38146.89530672005,Small,Small,0,Growing
21,SME_21,118408.67819944763,0.1541952841186429,0.6254904882120814,4333.697656832356,27676.544267859164,7,38,16,transport,1,125523.1413031508,0,0,819042.5817952219,0.0644624115674855,21,growth,1,1,1,1,1,1,4,1,366936.2011556979,31249.071765905243,0.0967145078937477,0.0367765512497541,0.0828069358904824,189492.01847939708,4024.202592875864,15,2,47,2977.166498263856,3001,41585,358,low,4633,2450,1697,mobile,55,female,none,employed,Kisumu,1,medium,30.2,102208.8927600789,4293.0,26361.370506106872,0.15849682940402715,0.026416138234004526,0.07919869555089681,0.013199782591816136,0.6926530612244898,0.528815022663501,56.666666666666664,19.611693063204115,0.3745095117879186,18258.059777076785,16915.525457063948,0.33831050914127897,0.9171930641095176,0.07919869555089681,0.013199782591816136,4.278304294548648,0.16636048898009467,0.2337374649283795,0.11929356881039653,1.0,1,1.0,30.8,0.047,123973.88607482167,Medium,Medium,0,Stable
22,SME_22,45632.539398308,0.1694163856570734,0.0864476044674115,5425.374940132885,30805.54002078605,27,27,16,manufacturing,1,448393.77542300726,0,4,245924.4195518831,0.1621622425272749,34,startup,1,1,1,0,1,0,2,1,101271.99669035306,23999.258469598644,0.0558622656644692,0.0389382330394241,0.123215394989743,182687.33452786552,37622.0115106466,2,18,39,5139.500933675978,1670,36481,290,medium,3459,3459,690,online,44,female,bachelor,self-employed,Nairobi,1,low,49.8,46620.14673330204,3423.0,28527.7255562851,-0.021184131844196166,-0.003530688640699361,0.010517090271691499,0.0017528483786152498,0.199479618386817,1.0,6.0,57.934802387091594,0.9135523955325885,7730.8998932153445,1690.0940517891852,0.0338018810357837,0.876784605010257,0.010517090271691499,0.0017528483786152498,1.4813095101568556,0.0908786449108063,0.6750783635312718,0.17365269461077845,1.0,1,1.0,30.5,0.042,47549.106053036936,Small,Small,0,Stable
23,SME_23,51235.57722976878,0.2452461017087056,0.0222235902638012,125276.1773491407,23716.27852751455,8,38,2,tech,1,32176.573796570214,0,4,67454.48749824225,0.2031241122977947,20,startup,1,1,1,1,1,1,4,1,496869.2387637331,23409.861517281093,0.1032030577628703,0.0494148299625554,0.1269390802775988,155094.06938926206,22949.3062405469,15,18,23,7093.832709843922,2820,84432,216,high,3635,234,234,mobile,20,male,bachelor,self-employed,Other,1,medium,84.2,44292.588981114175,3371.0,15827.346560057811,0.15675282046879244,0.02612547007813207,0.07831504004746366,0.013052506674577276,1.0,0.06437414030261349,44.0,41.699940218812465,0.9777764097361988,12565.325584396114,6404.4471537210975,0.12808894307442195,0.8730609197224012,0.07831504004746366,0.013052506674577276,2.1603548453155326,0.11506843141158249,0.46288691978930163,0.07659574468085106,1.0,1,0.6280123214436053,37.2,-0.003,51081.87049807947,Small,Small,0,Stable
24,SME_24,34150.398969150854,0.0583825720616621,0.417538449719791,1973.0145047498856,19583.32714394044,73,42,16,agriculture,0,0.0,0,3,709169.1789900762,0.0808918168315158,17,startup,1,1,1,1,1,1,2,1,65441.2451163563,48394.143450668096,0.1144117610475414,0.0443139536381044,0.2309216747185553,41038.494556672886,44509.534148971965,11,23,5,33583.908035783905,2563,80644,124,medium,2028,2028,531,online,41,female,bachelor,employed,Nairobi,1,medium,51.2,31354.243717082594,1941.0,20723.630085490313,0.08917948323993038,0.014863247206655064,0.04482225656877898,0.007470376094796497,0.2618343195266272,1.0,14.5,30.06044952491119,0.5824615502802091,1993.7881287509608,467.8136845089158,0.009356273690178316,0.7690783252814447,0.04482225656877898,0.007470376094796497,1.7438507112780282,0.10093623028726825,0.5734435829470305,0.048380803745610615,1.0,0,0.0,28.3,0.123,38350.898042356406,Small,Small,0,Growing
25,SME_25,41147.52018456197,0.0,0.1982035408058845,0.0,45773.84406091658,28,31,5,services,1,378502.9946248719,0,9,978207.5326945968,0.1827322662970671,26,growth,0,1,1,1,1,0,2,1,214110.4845911245,21595.39233945889,0.0679021875663258,0.0287617461264939,0.1452170568224442,46689.39379759847,18750.701230079976,7,27,11,40121.86569708154,4614,66139,168,medium,3046,812,812,physical,24,female,bachelor,self-employed,Eldoret,0,medium,42.3,47932.95605716882,2845.0,48880.293193944635,-0.14156097246566599,-0.02359349541094433,0.07065026362038665,0.011775043936731108,1.0,0.2665791201575837,33.5,19.084531383905098,0.8017964591941155,0.0,1469.5542923057844,0.02939108584611569,0.8547829431775558,0.07065026362038665,0.011775043936731108,0.8989308420285212,0.06412910130672156,1.1124326291257365,0.036410923276983094,1.0,1,1.0,26.8,-0.027,40036.537139578795,Small,Small,0,Stable
26,SME_26,52213.10715910516,0.1628694681327586,0.252264370838607,0.0,6280.635176015104,79,12,8,agriculture,0,0.0,0,9,457724.826849283,0.2684204407130666,7,startup,0,1,1,1,0,1,3,0,241146.61296603383,27070.43842151468,0.076631225317112,0.0360045968461022,0.2013813316638379,57352.37325994088,22327.59275859088,4,34,3,2516.286001895529,4682,65885,372,high,4853,136,136,physical,52,male,bachelor,self-employed,Kisumu,1,medium,41.9,50491.93194162643,4772.0,6137.534253866839,0.03408812361286889,0.005681353935478149,0.01697401508801341,0.002829002514668902,1.0,0.028023902740572842,13.5,18.31263535626689,0.747735629161393,8503.920992562187,660.9254070772805,0.01321850814154561,0.7986186683361621,0.01697401508801341,0.002829002514668902,8.313348203777215,0.223144866184274,0.12028847769730666,0.07945322511747116,0.9999999999999999,0,0.0,31.7,0.145,59784.00769717541,Small,Small,0,Growing
27,SME_27,35711.078887201074,0.2760357827057598,0.1828265432803328,0.0,20922.3394858114,66,14,20,services,0,0.0,0,7,274420.55340172385,0.100127407125632,34,growth,0,1,1,1,1,1,1,1,411262.7779667634,16182.085363944418,0.1020672708903855,0.0268808301911227,0.1604821821899329,167658.14927829732,25251.126708039345,16,34,47,44520.265075737,2234,70190,486,low,366,366,366,mobile,36,male,highschool,self-employed,Mombasa,1,low,51.7,35324.55125037482,364.0,17229.91400154264,0.010942181093444331,0.0018236968489073885,0.005494505494505495,0.0009157509157509159,1.0,1.0,0.3333333333333333,64.82333729395414,0.8171734567196672,9857.535611895682,541.0769528363799,0.010821539056727596,0.8395178178100671,0.005494505494505495,0.0009157509157509159,1.7068396634811676,0.09957817785422443,0.5858781122770842,0.21754700089525514,1.0,0,0.0,29.6,0.024,36568.1447804939,Small,Small,0,Stable
28,SME_28,59191.03100622514,0.2367262447057606,0.2610299788848731,311.1263048692763,17228.095399393766,71,17,14,tech,1,40392.18892286373,0,2,173538.45669181136,0.1181542326685958,11,mature,1,1,1,1,1,1,2,1,63417.821495428,16397.692450034687,0.0673908463874037,0.0355666384219814,0.1463689250516611,131349.38104485185,43184.59585077565,19,4,42,37365.18510948369,1585,49446,364,low,2783,2783,1431,online,41,female,phd,self-employed,Kisumu,1,low,67.7,57078.55411998481,2732.0,24657.597280577953,0.03700999296162429,0.006168332160270715,0.018667642752562226,0.0031112737920937043,0.5141933165648581,1.0,8.5,35.38386960225884,0.7389700211151269,14012.070490365915,833.6764930454244,0.01667352986090849,0.8536310749483389,0.018667642752562226,0.0031112737920937043,3.435726912001427,0.1489691505826081,0.2910592214145059,0.22965299684542587,1.0,1,0.6824038749826079,30.2,0.117,66116.38163395348,Small,Small,0,Growing
