sme_id,current_revenue,predicted_6m_growth_rate,predicted_6m_revenue,growth_stage,will_jump_category,current_revenue_category,composite_growth_score,growth_action
26,52213.10715910516,10.6,57765.0,Growing,0,Small,31.7,growth_support
27,35711.078887201074,5.6,37694.0,Growing,0,Small,29.6,stability_support
28,59191.03100622514,8.9,64484.0,Growing,0,Small,30.2,stability_support
29,40493.63731489165,5.8,42829.0,Growing,0,Small,27.5,stability_support
30,44583.904812337474,5.7,47122.0,Growing,0,Small,28.4,stability_support
31,40481.57679392344,8.3,43855.0,Growing,0,Small,28.0,stability_support
32,160518.9011037012,9.5,175694.0,Growing,0,Medium,38.1,stability_support
33,49520.09917899211,6.5,52735.0,Growing,0,Small,30.4,stability_support
34,36348.25073832687,-0.8,36047.0,Stable,0,Small,32.4,intervention_required
35,76090.51473150012,11.2,84582.0,Growing,0,Small,42.0,growth_support
36,35271.40609668176,3.5,36514.0,Growing,0,Small,31.4,stability_support
37,54581.704105298246,11.6,60926.0,Growing,0,Small,28.4,growth_support
38,32097.10432031505,0.9,32397.0,Stable,0,Small,27.4,stability_support
39,34652.85245521256,11.2,38517.0,Growing,0,Small,28.5,growth_support
40,54278.81503318624,2.7,55758.0,Stable,0,Small,29.5,stability_support
41,72308.75709542117,8.1,78146.0,Growing,0,Small,29.8,stability_support
42,53647.41542156937,6.8,57284.0,Growing,0,Small,28.5,stability_support
43,47546.31147989132,7.5,51094.0,Growing,0,Small,31.3,stability_support
44,44439.76739133272,8.0,47987.0,Growing,0,Small,30.4,stability_support
45,33890.92229083391,8.1,36634.0,Growing,0,Small,27.6,stability_support
46,39223.86280975429,9.3,42871.0,Growing,0,Small,29.3,stability_support
47,42191.65136718391,7.8,45498.0,Growing,0,Small,28.2,stability_support
48,88488.70157307523,9.5,96882.0,Growing,0,Small,27.0,stability_support
49,58244.01086779135,8.0,62922.0,Growing,0,Small,31.2,stability_support
50,32727.89491279573,7.9,35317.0,Stable,0,Small,30.1,stability_support
51,57682.04846235036,10.7,63878.0,Growing,0,Small,29.8,growth_support
52,43211.74828732604,4.2,45026.0,Stable,0,Small,27.3,stability_support
53,39663.73227703985,7.5,42637.0,Growing,0,Small,34.1,stability_support
54,67174.6016602166,6.1,71248.0,Growing,0,Small,28.7,stability_support
55,86959.8240272848,2.7,89321.0,Stable,0,Small,32.4,stability_support
56,81477.3628955617,6.8,87058.0,Growing,0,Small,28.9,stability_support
57,38095.28505796415,10.2,41986.0,Growing,0,Small,25.5,growth_support
58,44316.645503092346,8.8,48205.0,Growing,0,Small,28.1,stability_support
59,57887.31212174495,10.5,63961.0,Growing,0,Small,38.5,growth_support
60,83843.66503747541,6.9,89641.0,Growing,0,Small,32.9,stability_support
61,41952.9558308344,6.5,44694.0,Growing,0,Small,29.7,stability_support
62,46305.40975243274,5.8,48992.0,Growing,0,Small,30.4,stability_support
63,36008.71177112997,3.1,37127.0,Stable,0,Small,30.2,stability_support
64,35422.99095357202,10.5,39135.0,Growing,0,Small,29.0,growth_support
65,75623.0019021059,7.4,81243.0,Growing,0,Small,32.6,stability_support
66,109162.83923499232,8.9,118890.0,Growing,0,Medium,32.8,stability_support
67,48364.89640998142,7.3,51876.0,Stable,0,Small,28.5,stability_support
68,85394.78778962928,8.3,92521.0,Growing,0,Small,31.6,stability_support
69,58772.167165366576,4.2,61219.0,Stable,0,Small,36.0,stability_support
70,40002.03907393318,6.6,42661.0,Growing,0,Small,33.6,stability_support
71,58765.05688971258,10.6,65012.0,Growing,0,Small,28.3,growth_support
72,125106.20585832928,8.2,135342.0,Growing,0,Medium,32.0,stability_support
73,49071.27460498241,5.0,51518.0,Growing,0,Small,33.3,stability_support
74,127692.39915117646,10.7,141335.0,Growing,0,Medium,32.8,growth_support
75,30694.43903664272,18.9,36498.0,Growing,0,Small,29.0,growth_support
76,76060.39782668726,8.5,82494.0,Growing,0,Small,29.4,stability_support
77,51670.02679706614,11.1,57425.0,Growing,0,Small,33.9,growth_support
78,44471.76096526623,6.5,47359.0,Growing,0,Small,32.1,stability_support
79,51776.22155716479,8.5,56166.0,Growing,0,Small,29.5,stability_support
80,32017.235043928777,10.5,35387.0,Growing,0,Small,32.1,growth_support
81,45733.19294105995,8.6,49649.0,Growing,0,Small,28.2,stability_support
82,58638.67458393316,11.9,65613.0,Growing,0,Small,29.8,growth_support
83,119507.85065971644,6.2,126899.0,Growing,0,Medium,28.1,stability_support
84,41463.76331018179,-0.0,41457.0,Stable,0,Small,32.2,intervention_required
85,38373.00696545176,6.9,41014.0,Growing,0,Small,33.0,stability_support
86,41668.05549674503,5.4,43917.0,Growing,0,Small,29.0,stability_support
87,80653.76599462426,8.3,87366.0,Growing,0,Small,28.7,stability_support
88,57815.31617273892,4.9,60649.0,Growing,0,Small,29.8,stability_support
89,41323.5925890911,6.4,43981.0,Growing,0,Small,29.4,stability_support
90,63615.00992829485,4.5,66486.0,Growing,0,Small,31.0,stability_support
91,51896.60498042464,6.6,55341.0,Growing,0,Small,30.3,stability_support
92,83467.87399658852,5.5,88027.0,Growing,0,Small,29.4,stability_support
93,39403.89914311281,6.0,41750.0,Growing,0,Small,30.0,stability_support
94,44040.197191994215,3.9,45773.0,Stable,0,Small,28.9,stability_support
95,43113.607674556144,7.1,46191.0,Growing,0,Small,27.3,stability_support
96,33961.93831078962,5.5,35836.0,Growing,0,Small,29.4,stability_support
97,56896.45717369048,14.3,65010.0,Growing,0,Small,31.9,growth_support
98,55941.9094660039,4.5,58468.0,Growing,0,Small,30.6,stability_support
99,49901.92068134468,5.8,52789.0,Growing,0,Small,28.7,stability_support
100,45488.339792800936,7.8,49049.0,Growing,0,Small,29.8,stability_support
101,34197.09440588528,6.3,36350.0,Growing,0,Small,30.8,stability_support
102,42722.000345536304,1.5,43373.0,Stable,0,Small,34.0,stability_support
103,43818.40263042109,8.3,47466.0,Growing,0,Small,27.9,stability_support
104,38430.24344572415,-0.3,38313.0,Growing,0,Small,27.9,intervention_required
105,46727.590797916826,2.8,48028.0,Stable,0,Small,30.1,stability_support
106,60053.69914806599,10.2,66192.0,Growing,0,Small,28.6,growth_support
107,165048.17792981415,12.1,185009.0,Growing,0,Medium,36.6,growth_support
108,53726.024995182175,11.5,59884.0,Growing,0,Small,27.7,growth_support
109,55848.32587680144,9.9,61361.0,Growing,0,Small,25.4,stability_support
110,48318.257270894304,6.7,51562.0,Growing,0,Small,39.3,stability_support
111,32218.292846499506,5.8,34076.0,Stable,0,Small,27.2,stability_support
112,49257.23804938617,9.2,53788.0,Growing,0,Small,32.9,stability_support
113,51075.30464160112,1.4,51774.0,Growing,0,Small,32.9,stability_support
114,271121.42352051195,2.8,278686.0,Stable,0,Medium,31.2,stability_support
115,46191.11380506662,2.4,47284.0,Growing,0,Small,26.9,stability_support
116,57047.2080359804,7.5,61343.0,Growing,0,Small,36.5,stability_support
117,49093.435407856574,11.3,54628.0,Growing,0,Small,30.4,growth_support
118,35596.84379705841,11.2,39597.0,Growing,0,Small,32.5,growth_support
119,93794.38151783602,8.3,101560.0,Growing,1,Small,50.2,stability_support
120,72893.28467590254,4.3,76056.0,Growing,0,Small,33.8,stability_support
121,74635.71452605506,7.0,79827.0,Growing,0,Small,29.9,stability_support
122,37492.10391608045,7.2,40189.0,Growing,0,Small,28.6,stability_support
123,112973.74229529532,7.5,121395.0,Growing,0,Medium,29.3,stability_support
124,34265.191739419824,6.9,36629.0,Growing,0,Small,27.9,stability_support
125,66243.5593689757,8.4,71809.0,Growing,0,Small,28.6,stability_support
126,213362.57404676423,10.6,235993.0,Growing,0,Medium,41.6,growth_support
127,36845.33255691591,3.6,38158.0,Stable,0,Small,29.6,stability_support
128,40888.41182613457,6.5,43543.0,Growing,0,Small,27.6,stability_support
129,51955.11214695706,8.0,56119.0,Growing,0,Small,30.6,stability_support
130,41646.63614276096,-0.3,41505.0,Stable,0,Small,27.6,intervention_required
131,33564.0244291705,10.0,36936.0,Growing,0,Small,29.2,growth_support
132,51258.39683226634,9.7,56208.0,Growing,0,Small,29.8,stability_support
133,36315.46888538354,10.2,40009.0,Growing,0,Small,21.7,growth_support
134,62276.09897032384,4.7,65227.0,Growing,0,Small,31.3,stability_support
135,37409.235861452005,7.6,40258.0,Growing,0,Small,28.3,stability_support
136,126254.16746224544,7.8,136113.0,Growing,0,Medium,31.1,stability_support
137,38607.63242080319,9.5,42284.0,Growing,0,Small,23.4,stability_support
138,44123.5776223592,6.3,46922.0,Growing,0,Small,28.1,stability_support
139,75669.05404502613,0.1,75709.0,Growing,0,Small,29.7,stability_support
140,35210.81216175439,6.4,37460.0,Growing,0,Small,29.3,stability_support
141,55058.2366101697,8.9,59942.0,Growing,0,Small,29.9,stability_support
142,105331.42086424724,8.4,114146.0,Growing,0,Medium,28.6,stability_support
143,33322.65199781398,9.1,36342.0,Growing,0,Small,27.7,stability_support
144,53973.96308123979,10.9,59871.0,Growing,0,Small,31.2,growth_support
145,55910.56670013008,2.8,57466.0,Stable,0,Small,33.5,stability_support
146,74219.16082818637,0.9,74885.0,Stable,0,Small,35.4,stability_support
147,35174.30366987005,3.6,36445.0,Stable,0,Small,28.6,stability_support
148,34695.208537431456,10.9,38490.0,Growing,0,Small,31.3,growth_support
149,63914.87959998802,16.5,74478.0,Rapid Growth,0,Small,34.6,growth_support
150,56920.41328393722,3.1,58704.0,Stable,0,Small,31.2,stability_support
151,55660.87528597121,4.8,58352.0,Growing,0,Small,29.4,stability_support
152,58326.33604638303,6.9,62323.0,Growing,0,Small,39.7,stability_support
153,39631.29846067736,12.2,44448.0,Growing,0,Small,29.7,growth_support
154,55182.52049912177,4.8,57834.0,Growing,0,Small,29.6,stability_support
155,56812.15454781827,8.4,61558.0,Growing,0,Small,28.5,stability_support
156,39279.10543385602,5.5,41438.0,Growing,0,Small,28.4,stability_support
157,162303.31712499913,9.6,177885.0,Growing,0,Medium,29.8,stability_support
158,62284.05581126953,8.1,67319.0,Growing,0,Small,31.6,stability_support
159,35453.606688127584,8.3,38411.0,Growing,0,Small,33.4,stability_support
160,68917.88641011623,8.5,74803.0,Growing,0,Small,29.5,stability_support
161,36967.605968394986,6.3,39287.0,Growing,0,Small,28.1,stability_support
162,74456.69467631937,9.4,81461.0,Growing,0,Small,29.0,stability_support
163,94821.38360873808,11.8,106007.0,Rapid Growth,1,Small,42.5,growth_support
164,38261.80769870416,4.7,40060.0,Growing,0,Small,30.4,stability_support
165,83182.66535776955,8.1,89908.0,Growing,0,Small,31.5,stability_support
166,60324.28446862799,7.8,65016.0,Growing,0,Small,29.6,stability_support
167,76067.78713461303,5.0,79880.0,Growing,0,Small,40.5,stability_support
168,166496.86211591528,6.0,176555.0,Growing,0,Medium,33.2,stability_support
169,45313.29369641133,6.9,48449.0,Stable,0,Small,34.2,stability_support
170,38889.63247839909,12.0,43540.0,Growing,0,Small,30.1,growth_support
171,37658.658619319984,7.7,40551.0,Growing,0,Small,29.9,stability_support
172,38306.09336511536,13.8,43604.0,Growing,0,Small,31.2,growth_support
173,48267.53500346107,5.9,51136.0,Growing,0,Small,28.8,stability_support
174,58172.45307487325,6.9,62172.0,Growing,0,Small,34.1,stability_support
175,56363.41121432604,-3.8,54215.0,Growing,0,Small,29.3,intervention_required
176,76308.54106607244,7.2,81830.0,Growing,0,Small,29.5,stability_support
177,50065.91848849514,4.0,52080.0,Stable,0,Small,29.2,stability_support
178,117334.39229309453,8.8,127711.0,Growing,0,Medium,33.4,stability_support
179,45005.67195846608,-1.4,44387.0,Growing,0,Small,27.1,intervention_required
180,341994.21027606697,7.8,368516.0,Growing,0,Medium,36.7,stability_support
181,67709.7229594803,7.9,73032.0,Growing,0,Small,29.2,stability_support
182,37937.02247450702,11.2,42190.0,Growing,0,Small,30.2,growth_support
183,36254.56742407064,6.5,38628.0,Growing,0,Small,30.1,stability_support
184,62571.17425590581,4.3,65253.0,Stable,0,Small,35.1,stability_support
185,45670.61385996011,0.3,45820.0,Stable,0,Small,29.2,stability_support
186,71266.71107705278,6.2,75667.0,Growing,0,Small,30.7,stability_support
187,62264.36338054946,9.3,68063.0,Growing,0,Small,27.7,stability_support
188,48349.206008036985,13.6,54920.0,Growing,0,Small,34.9,growth_support
189,38028.10322673991,10.7,42087.0,Growing,0,Small,30.2,growth_support
190,33723.372925044656,7.1,36130.0,Growing,0,Small,28.1,stability_support
191,42376.52806461698,9.7,46469.0,Growing,0,Small,28.2,stability_support
192,77705.31779315448,9.9,85372.0,Growing,0,Small,29.4,stability_support
193,54714.83257470887,14.9,62864.0,Rapid Growth,0,Small,35.1,growth_support
194,35121.98002636984,5.7,37119.0,Growing,0,Small,30.6,stability_support
195,53691.7806782096,7.2,57572.0,Stable,0,Small,33.3,stability_support
196,59480.9740287644,8.2,64384.0,Growing,0,Small,29.3,stability_support
197,37706.67791634189,8.0,40719.0,Growing,0,Small,29.6,stability_support
198,53219.76602309175,18.3,62946.0,Rapid Growth,0,Small,36.9,growth_support
199,51031.11677525944,2.8,52472.0,Stable,0,Small,31.9,stability_support
200,35763.57625370256,10.4,39476.0,Growing,0,Small,29.4,growth_support
201,58658.55011757408,4.9,61544.0,Growing,0,Small,31.5,stability_support
202,65290.07041875192,9.8,71661.0,Growing,0,Small,30.5,stability_support
203,90046.25636891116,1.1,90992.0,Stable,0,Small,33.2,stability_support
204,88292.15982994021,3.2,91136.0,Stable,0,Small,30.8,stability_support
205,34389.31251415561,10.1,37861.0,Growing,0,Small,28.0,growth_support
206,37259.45415880336,7.7,40144.0,Growing,0,Small,29.7,stability_support
207,63675.91409551539,8.2,68872.0,Growing,0,Small,29.1,stability_support
208,63632.86237869005,7.8,68590.0,Stable,0,Small,36.3,stability_support
209,63676.34233041398,7.8,68622.0,Growing,0,Small,35.9,stability_support
210,1000000.0,24.0,1240150.0,Rapid Growth,0,Large,41.8,growth_support
211,65656.70458428444,4.7,68715.0,Growing,0,Small,29.6,stability_support
212,93327.26349015256,8.8,101543.0,Growing,1,Small,32.3,stability_support
213,82678.92220468255,5.0,86814.0,Growing,0,Small,32.7,stability_support
214,68713.34675708899,10.2,75737.0,Growing,0,Small,33.7,growth_support
215,44225.32743369632,6.8,47215.0,Growing,0,Small,29.4,stability_support
216,73201.84417949518,7.2,78484.0,Growing,0,Small,26.3,stability_support
217,38706.31044125068,6.4,41187.0,Growing,0,Small,26.7,stability_support
218,45452.02030673722,7.2,48741.0,Growing,0,Small,29.8,stability_support
219,41874.23157548859,8.3,45329.0,Growing,0,Small,31.1,stability_support
220,51554.06094687004,8.6,56010.0,Growing,0,Small,31.1,stability_support
221,237718.04111797136,4.7,248886.0,Stable,0,Medium,47.8,stability_support
222,32378.13488583578,7.4,34774.0,Growing,0,Small,27.6,stability_support
223,70115.6450568816,11.7,78298.0,Growing,0,Small,29.0,growth_support
224,33301.10553054187,8.9,36251.0,Growing,0,Small,27.1,stability_support
225,42045.69518503484,1.1,42503.0,Stable,0,Small,40.4,stability_support
226,90406.30538762192,14.2,103278.0,Growing,1,Small,30.3,growth_support
227,51164.098772336,13.1,57870.0,Growing,0,Small,30.7,growth_support
228,36206.35292725093,7.9,39083.0,Growing,0,Small,28.8,stability_support
229,39269.50620183212,0.0,39274.0,Stable,0,Small,26.0,stability_support
230,69843.91427163358,9.4,76406.0,Growing,0,Small,31.0,stability_support
231,39118.87935910157,6.5,41665.0,Growing,0,Small,31.1,stability_support
232,54775.256435222254,8.1,59203.0,Growing,0,Small,27.6,stability_support
233,50756.902085914495,-0.4,50536.0,Stable,0,Small,29.7,intervention_required
234,39932.22408594153,6.3,42450.0,Growing,0,Small,31.2,stability_support
235,204992.77319906163,3.3,211802.0,Stable,0,Medium,26.5,stability_support
236,68028.85571411622,5.7,71940.0,Growing,0,Small,30.8,stability_support
237,31913.129871270856,12.1,35764.0,Growing,0,Small,28.7,growth_support
238,54019.11471078839,4.6,56496.0,Stable,0,Small,30.0,stability_support
239,39823.40011354542,9.1,43449.0,Growing,0,Small,27.3,stability_support
240,77513.32967970712,8.5,84078.0,Growing,0,Small,29.3,stability_support
241,38520.7965842701,2.7,39545.0,Stable,0,Small,30.8,stability_support
242,47563.05335273547,6.7,50740.0,Growing,0,Small,29.6,stability_support
243,63331.176713725,4.6,66269.0,Growing,0,Small,31.1,stability_support
244,78161.33759036886,6.0,82836.0,Growing,0,Small,28.5,stability_support
245,35397.5684160496,12.1,39691.0,Growing,0,Small,28.1,growth_support
246,43939.01023897615,9.9,48282.0,Growing,0,Small,32.3,stability_support
247,42007.02608421472,8.6,45607.0,Growing,0,Small,30.8,stability_support
248,39913.67525055128,10.5,44103.0,Stable,0,Small,26.3,growth_support
249,149597.73829126375,8.6,162520.0,Growing,0,Medium,30.2,stability_support
250,60082.438250212406,8.9,65405.0,Growing,0,Small,29.2,stability_support
251,35032.87861022128,12.1,39282.0,Growing,0,Small,27.2,growth_support
252,80780.50365201719,9.0,88023.0,Growing,0,Small,29.7,stability_support
253,201203.9174598348,6.8,214917.0,Growing,0,Medium,31.0,stability_support
254,87044.55543850252,9.0,94862.0,Growing,0,Small,31.2,stability_support
255,33702.934728307446,5.4,35537.0,Growing,0,Small,30.3,stability_support
256,41888.56148790417,6.1,44448.0,Growing,0,Small,27.6,stability_support
257,102329.09585119892,7.4,109939.0,Growing,0,Medium,31.2,stability_support
258,39346.718188059865,11.8,43974.0,Growing,0,Small,27.3,growth_support
259,61305.66837387963,4.9,64330.0,Growing,0,Small,29.6,stability_support
260,73896.64493233693,7.8,79632.0,Growing,0,Small,32.6,stability_support
261,37347.80242143939,4.1,38890.0,Growing,0,Small,29.5,stability_support
262,48605.73883828221,8.8,52907.0,Growing,0,Small,31.0,stability_support
263,30000.0,1.6,30489.0,Stable,0,Small,24.9,stability_support
264,36590.66509031568,5.1,38450.0,Growing,0,Small,31.0,stability_support
265,45197.97226060218,6.9,48326.0,Growing,0,Small,28.5,stability_support
266,35109.87355504614,14.0,40034.0,Growing,0,Small,33.4,growth_support
267,134598.76420137053,1.6,136706.0,Stable,0,Medium,26.0,stability_support
268,34123.74098236881,8.8,37114.0,Growing,0,Small,31.2,stability_support
269,42462.100657502495,5.2,44659.0,Growing,0,Small,29.8,stability_support
270,52673.84671737444,3.9,54705.0,Growing,0,Small,31.8,stability_support
271,116260.32153720364,6.5,123863.0,Growing,0,Medium,19.6,stability_support
272,34095.620490167785,10.3,37607.0,Growing,0,Small,28.8,growth_support
273,95121.86592608152,2.0,96999.0,Stable,0,Small,33.0,stability_support
274,50008.208056684176,9.0,54486.0,Growing,0,Small,33.8,stability_support
275,36914.7175538913,6.7,39385.0,Growing,0,Small,31.6,stability_support
276,61898.1970440271,6.7,66042.0,Growing,0,Small,29.2,stability_support
277,54334.023296777625,8.2,58766.0,Growing,0,Small,29.4,stability_support
278,40498.40458320758,1.2,41004.0,Stable,0,Small,32.6,stability_support
279,51285.75379620079,8.8,55787.0,Growing,0,Small,29.7,stability_support
280,43208.5061640466,7.9,46634.0,Growing,0,Small,29.2,stability_support
281,52272.91325258573,2.8,53746.0,Stable,0,Small,29.1,stability_support
282,69140.04716611613,8.3,74892.0,Growing,0,Small,31.9,stability_support
283,129820.27649886649,8.1,140317.0,Growing,0,Medium,35.1,stability_support
284,35169.13435078298,7.0,37634.0,Growing,0,Small,28.6,stability_support
285,203085.11061686187,6.1,215507.0,Growing,0,Medium,31.6,stability_support
286,32119.199030612537,5.7,33963.0,Growing,0,Small,25.7,stability_support
287,46894.96299532183,8.0,50625.0,Growing,0,Small,30.1,stability_support
288,66297.6951768346,7.2,71087.0,Growing,0,Small,28.7,stability_support
289,56480.51967964994,6.7,60244.0,Growing,0,Small,30.6,stability_support
290,40247.09101533437,6.8,42993.0,Rapid Growth,0,Small,31.5,stability_support
291,45925.32011853188,6.9,49091.0,Growing,0,Small,30.4,stability_support
292,41777.75785036268,5.7,44143.0,Growing,0,Small,32.4,stability_support
293,40621.747640810514,6.1,43110.0,Stable,0,Small,33.5,stability_support
294,77376.7201047845,19.2,92201.0,Rapid Growth,0,Small,35.5,growth_support
295,58635.81608607719,7.0,62736.0,Growing,0,Small,27.6,stability_support
296,39497.67995105362,9.0,43047.0,Growing,0,Small,31.0,stability_support
297,79846.98016372713,5.8,84493.0,Stable,0,Small,31.7,stability_support
298,57207.88541013813,12.0,64053.0,Growing,0,Small,32.7,growth_support
299,75638.61838169137,15.8,87573.0,Rapid Growth,0,Small,37.2,growth_support
300,67862.6047501183,10.4,74888.0,Growing,0,Small,31.0,growth_support
301,38186.74357105044,9.8,41944.0,Growing,0,Small,29.9,stability_support
302,40960.1611315775,0.3,41069.0,Stable,0,Small,30.7,stability_support
303,72691.01533068431,19.1,86549.0,Growing,0,Small,31.8,growth_support
304,67125.03069424702,7.3,71997.0,Growing,0,Small,28.1,stability_support
305,49370.15424291173,4.1,51404.0,Growing,0,Small,32.4,stability_support
306,52361.011896832126,7.4,56255.0,Stable,0,Small,30.6,stability_support
307,103119.81437258844,9.2,112633.0,Growing,0,Medium,46.1,stability_support
308,40596.55896681125,7.8,43757.0,Growing,0,Small,27.9,stability_support
309,64799.386170457685,7.1,69408.0,Growing,0,Small,29.8,stability_support
310,46024.82387704514,10.7,50957.0,Growing,0,Small,28.8,growth_support
311,45766.14972815503,9.1,49908.0,Growing,0,Small,28.8,stability_support
312,91010.75640182644,5.8,96262.0,Stable,0,Small,31.5,stability_support
313,76225.36816788319,15.2,87836.0,Rapid Growth,0,Small,33.0,growth_support
314,75668.7017030532,5.6,79884.0,Growing,0,Small,29.0,stability_support
315,105204.83783368352,8.3,113887.0,Growing,0,Medium,30.0,stability_support
316,50233.60324428216,11.6,56056.0,Growing,0,Small,29.8,growth_support
317,69939.76630963851,5.8,74009.0,Growing,0,Small,31.8,stability_support
318,44300.70905055743,7.3,47517.0,Growing,0,Small,28.4,stability_support
319,57684.39547925819,10.4,63709.0,Growing,0,Small,35.1,growth_support
320,47282.21985314894,6.4,50322.0,Growing,0,Small,29.4,stability_support
321,51894.75289178805,7.6,55830.0,Growing,0,Small,29.4,stability_support
322,66552.3465191496,8.3,72074.0,Growing,0,Small,29.8,stability_support
323,38284.15643013029,7.9,41309.0,Growing,0,Small,27.1,stability_support
324,196158.8384263424,4.5,204931.0,Stable,0,Medium,31.5,stability_support
325,36727.796490312496,10.1,40429.0,Growing,0,Small,31.1,growth_support
326,35311.98526137822,4.9,37058.0,Growing,0,Small,30.0,stability_support
327,94789.58144087825,2.4,97084.0,Stable,0,Small,31.0,stability_support
328,74664.38568662315,-6.3,69991.0,Growing,0,Small,30.4,intervention_required
329,67650.16504145548,9.3,73912.0,Growing,0,Small,27.5,stability_support
330,67813.0121031765,7.6,72984.0,Growing,0,Small,30.3,stability_support
331,49545.53168352979,6.2,52628.0,Growing,0,Small,28.2,stability_support
332,37593.39679349432,4.1,39120.0,Growing,0,Small,29.4,stability_support
333,51418.75675900416,4.5,53736.0,Growing,0,Small,28.0,stability_support
334,39661.22290445541,7.1,42458.0,Growing,0,Small,30.7,stability_support
335,83820.42242683328,5.4,88342.0,Growing,0,Small,29.1,stability_support
336,46978.84544237562,7.0,50248.0,Growing,0,Small,30.0,stability_support
337,38218.25302549361,4.6,39972.0,Stable,0,Small,31.5,stability_support
338,44133.66845737018,7.1,47255.0,Growing,0,Small,35.6,stability_support
339,60328.97075585318,4.3,62928.0,Stable,0,Small,31.9,stability_support
340,40918.54194733342,11.9,45784.0,Growing,0,Small,29.7,growth_support
341,38247.87167929266,9.8,41985.0,Growing,0,Small,28.2,stability_support
342,55481.36393015826,9.2,60612.0,Growing,0,Small,29.4,stability_support
343,55515.01623707032,7.8,59856.0,Growing,0,Small,28.0,stability_support
344,41603.53169939489,5.5,43877.0,Growing,0,Small,27.8,stability_support
345,42057.183935555615,1.1,42533.0,Stable,0,Small,33.3,stability_support
346,55177.225655726754,8.2,59683.0,Growing,0,Small,28.0,stability_support
347,34036.07853738099,9.3,37203.0,Growing,0,Small,36.0,stability_support
348,34236.80923703493,-1.7,33664.0,Stable,0,Small,30.1,intervention_required
349,39237.914095676126,7.3,42108.0,Growing,0,Small,30.0,stability_support
350,45836.46513308837,2.7,47079.0,Growing,0,Small,30.2,stability_support
351,57309.142738250885,6.1,60777.0,Growing,0,Small,33.4,stability_support
352,119278.9406601581,13.7,135677.0,Growing,0,Medium,40.9,growth_support
353,77766.52063456675,8.4,84311.0,Growing,0,Small,31.3,stability_support
354,46751.22743044525,5.5,49307.0,Stable,0,Small,33.0,stability_support
355,49408.22965992721,8.4,53542.0,Growing,0,Small,28.6,stability_support
356,36754.11981644004,14.0,41916.0,Growing,0,Small,28.7,growth_support
357,49418.4013479741,8.2,53450.0,Growing,0,Small,29.1,stability_support
358,44630.68534472591,8.2,48295.0,Growing,0,Small,30.3,stability_support
359,57643.17738743942,3.0,59367.0,Stable,0,Small,29.8,stability_support
360,38202.62109145309,3.4,39514.0,Growing,0,Small,32.6,stability_support
361,63824.89436223939,7.4,68549.0,Growing,0,Small,33.9,stability_support
362,124599.44060467515,15.1,143398.0,Rapid Growth,0,Medium,45.2,growth_support
363,47673.15991755413,3.7,49458.0,Stable,0,Small,28.4,stability_support
364,59981.59889200817,0.9,60534.0,Stable,0,Small,31.2,stability_support
365,70274.8849960996,4.8,73626.0,Growing,0,Small,30.4,stability_support
366,42987.34539193884,6.7,45883.0,Growing,0,Small,27.3,stability_support
367,54971.28704075822,6.9,58751.0,Growing,0,Small,30.0,stability_support
368,50057.37343966498,3.6,51838.0,Stable,0,Small,29.1,stability_support
369,51910.19757713914,6.6,55320.0,Stable,0,Small,29.2,stability_support
370,38704.554952480175,15.5,44713.0,Growing,0,Small,33.4,growth_support
371,50307.50400875323,4.0,52328.0,Stable,0,Small,33.5,stability_support
372,63093.42532395896,7.3,67728.0,Growing,0,Small,30.0,stability_support
